state_code,num_districts_all,num_districts_clean_1518,num_districts_3x_1518,num_districts_2x_1518,pcent_districts_3x_all,pcent_districts_3x_clean,pcent_districts_2x_all,pcent_districts_2x_clean
AL,135,126,44,92,0.32592592592592595,0.3492063492063492,0.6814814814814815,0.7301587301587301
CO,176,140,96,105,0.5454545454545454,0.6857142857142857,0.5965909090909091,0.75
AR,232,189,178,184,0.7672413793103449,0.9417989417989417,0.7931034482758621,0.9735449735449735
AZ,207,162,102,118,0.4927536231884058,0.6296296296296297,0.5700483091787439,0.7283950617283951
CA,924,482,266,304,0.2878787878787879,0.5518672199170125,0.329004329004329,0.6307053941908713
FL,67,55,31,41,0.4626865671641791,0.5636363636363636,0.6119402985074627,0.7454545454545455
IL,838,607,314,395,0.3747016706443914,0.5172981878088962,0.4713603818615752,0.6507413509060955
AK,53,40,15,22,0.2830188679245283,0.375,0.41509433962264153,0.55
KS,285,253,185,207,0.6491228070175439,0.7312252964426877,0.7263157894736842,0.8181818181818182
CT,165,152,19,38,0.11515151515151516,0.125,0.23030303030303031,0.25
MA,290,246,139,182,0.4793103448275862,0.5650406504065041,0.6275862068965518,0.7398373983739838
DE,17,15,15,15,0.8823529411764706,1.0,0.8823529411764706,1.0
GA,175,125,11,24,0.06285714285714286,0.088,0.13714285714285715,0.192
ID,114,100,68,85,0.5964912280701754,0.68,0.7456140350877193,0.85
HI,1,1,0,0,0.0,0.0,0.0,0.0
IA,326,196,105,143,0.3220858895705521,0.5357142857142857,0.4386503067484663,0.7295918367346939
MO,514,419,191,252,0.3715953307392996,0.45584725536992843,0.490272373540856,0.6014319809069213
IN,287,264,168,212,0.5853658536585366,0.6363636363636364,0.7386759581881533,0.803030303030303
KY,173,165,34,76,0.19653179190751446,0.20606060606060606,0.4393063583815029,0.46060606060606063
LA,69,58,31,34,0.4492753623188406,0.5344827586206896,0.4927536231884058,0.5862068965517241
MD,24,23,10,16,0.4166666666666667,0.43478260869565216,0.6666666666666666,0.6956521739130435
ME,187,111,24,36,0.12834224598930483,0.21621621621621623,0.1925133689839572,0.32432432432432434
MI,516,287,138,176,0.26744186046511625,0.4808362369337979,0.34108527131782945,0.6132404181184669
OH,588,435,131,214,0.2227891156462585,0.30114942528735633,0.36394557823129253,0.49195402298850577
MN,329,290,179,203,0.5440729483282675,0.6172413793103448,0.6170212765957447,0.7
OK,511,477,305,363,0.5968688845401174,0.639412997903564,0.7103718199608611,0.7610062893081762
MS,144,118,77,98,0.5347222222222222,0.652542372881356,0.6805555555555556,0.8305084745762712
MT,258,214,131,167,0.5077519379844961,0.6121495327102804,0.6472868217054264,0.780373831775701
ND,175,87,72,74,0.4114285714285714,0.8275862068965517,0.4228571428571429,0.8505747126436781
NC,112,88,58,79,0.5178571428571429,0.6590909090909091,0.7053571428571429,0.8977272727272727
NE,244,177,27,51,0.11065573770491803,0.15254237288135594,0.20901639344262296,0.288135593220339
NH,158,110,57,74,0.36075949367088606,0.5181818181818182,0.46835443037974683,0.6727272727272727
NJ,541,407,193,250,0.3567467652495379,0.4742014742014742,0.46210720887245843,0.6142506142506142
NM,89,78,52,64,0.5842696629213483,0.6666666666666666,0.7191011235955056,0.8205128205128205
NV,17,16,12,12,0.7058823529411765,0.75,0.7058823529411765,0.75
NY,682,456,76,99,0.11143695014662756,0.16666666666666666,0.14516129032258066,0.21710526315789475
SC,84,81,54,65,0.6428571428571429,0.6666666666666666,0.7738095238095238,0.8024691358024691
TN,142,119,80,98,0.5633802816901409,0.6722689075630253,0.6901408450704225,0.8235294117647058
OR,173,118,78,89,0.4508670520231214,0.6610169491525424,0.5144508670520231,0.7542372881355932
PA,499,359,236,274,0.4729458917835671,0.6573816155988857,0.5490981963927856,0.7632311977715878
RI,36,34,12,20,0.3333333333333333,0.35294117647058826,0.5555555555555556,0.5882352941176471
SD,150,130,125,129,0.8333333333333334,0.9615384615384616,0.86,0.9923076923076923
TX,1021,890,609,710,0.5964740450538688,0.6842696629213483,0.6953966699314398,0.797752808988764
UT,41,34,8,9,0.1951219512195122,0.23529411764705882,0.21951219512195122,0.2647058823529412
VA,132,122,88,100,0.6666666666666666,0.7213114754098361,0.7575757575757576,0.819672131147541
VT,58,36,18,21,0.3103448275862069,0.5,0.3620689655172414,0.5833333333333334
WA,296,268,92,109,0.3108108108108108,0.34328358208955223,0.36824324324324326,0.40671641791044777
WI,418,327,226,250,0.5406698564593302,0.691131498470948,0.5980861244019139,0.764525993883792
WV,53,43,10,15,0.18867924528301888,0.23255813953488372,0.2830188679245283,0.3488372093023256
WY,48,28,17,21,0.3541666666666667,0.6071428571428571,0.4375,0.75
