,Group,Districts above $2500,% Districts above $2500,Students above $2500,% Students above $2500
0,All Districts,4763.65063788027477918912,0.38709677419354838710,15153477.4423789685765810,0.60523148931533822811
1,Not Meeting 1Mbps,3027.95878312070657506968,0.40365939479239971851,10774487.3974630555144150,0.59909943075213948155
2,Town,1107.50654236179260712974,0.46150461944566652002,3222947.7442718609242912,0.59359691234325079063
3,Suburban,1279.59764474975466143112,0.46958543200309957381,6157985.2200900460876560,0.62140776210621264937
4,Urban,295.61661759895322211280,0.64220183486238532110,2237794.2408479716381056,0.73062501754282674670
5,Rural,2080.92983316977428851546,0.30961357210179076343,3534750.2371690899265282,0.53271213949258302581
6,Tiny,309.34167484461890742518,0.18210068365444375388,116889.3715240088630568,0.23418064499867673191
7,Large,293.50507033038927052628,0.84756097560975609756,3136133.0732782732416388,0.85179021848017800528
8,Small,2491.62577690546287209360,0.32457708705817631688,3661409.7451444337606576,0.41650569210118469409
9,Medium,1669.17811579980372914406,0.64583333333333333333,8239045.2524322527112278,0.68284541202080041235
10,Town Not Meeting 1Mbps,746.43195943735688583482,0.43722943722943722944,2334076.0576893492970200,0.57363135470066971325
11,Tiny Not Meeting 1Mbps,116.13509977101733725860,0.16272189349112426036,63588.1871495191185208,0.22940873880416364076
12,Rural Not Meeting 1Mbps,1209.91658488714425907596,0.34352517985611510791,2722563.4803640699962346,0.57641455073009356349
13,Urban Not Meeting 1Mbps,180.53729146221786064746,0.61956521739130434783,1324654.9989012524160906,0.70723909031524610287
14,Large Not Meeting 1Mbps,204.82008505070330389244,0.88584474885844748858,2157991.3385620272955684,0.88851717683785949112
15,Suburban Not Meeting 1Mbps,891.07294733398756951144,0.44989339019189765458,4393192.8605083838050698,0.60022388412456723614
16,Medium Not Meeting 1Mbps,1218.36277396140006542204,0.62683324280282455187,6054659.1338188455217090,0.66816506986242712625
17,Small Not Meeting 1Mbps,1488.64082433758586849660,0.32272831311512932021,2498248.7379326635786168,0.40184719805539637960
