,state_code,no_excuse_most_common_in_state,no_excuse_district_count,% of No Excuse on most common SP,diff_from_state_most_common
0,AK,GCI Communication,8.28094932649134060296,1.00000000000000000000,False
1,FL,CenturyLink,2.07023733162283515074,1.00000000000000000000,True
2,VT,Vermont Telephone,1.03511866581141757537,1.00000000000000000000,True
3,OK,OneNet Oklahoma State Regents,33.12379730596536241184,0.76190476190476190476,False
4,NY,Cablevision,12.42142398973701090444,0.75000000000000000000,True
5,AZ,CenturyLink,5.17559332905708787685,0.71428571428571428571,True
6,IN,Education Networks of America (ENA),5.17559332905708787685,0.71428571428571428571,False
7,ID,Education Networks of America (ENA),2.07023733162283515074,0.66666666666666666667,True
8,NM,CenturyLink,2.07023733162283515074,0.66666666666666666667,True
9,MI,Spectrum,5.17559332905708787685,0.62500000000000000000,True
10,CO,Zayo Group,3.10535599743425272611,0.60000000000000000000,True
11,MT,Spectrum,3.10535599743425272611,0.60000000000000000000,False
12,MN,VAL-ED Joint Venture,4.14047466324567030148,0.57142857142857142857,False
13,PA,Comcast,6.21071199486850545222,0.54545454545454545455,False
14,VA,Comcast,1.03511866581141757537,0.50000000000000000000,True
15,KS,Nex-Tech,1.03511866581141757537,0.50000000000000000000,False
16,LA,Nexus Systems,1.03511866581141757537,0.50000000000000000000,True
17,NH,Comcast,1.03511866581141757537,0.50000000000000000000,True
18,CA,AT&T,49.68569595894804361776,0.46601941747572815534,False
19,NJ,Comcast,23.80772931366260423351,0.38333333333333333333,False
20,IL,Comcast,15.52677998717126363055,0.35714285714285714286,False
21,OH,Metropolitan Educational Technology Association,8.28094932649134060296,0.34782608695652173913,False
22,TX,Region 16 Education Service Center,18.63213598460551635666,0.26470588235294117647,True
23,MA,Cogent,3.10535599743425272611,0.25000000000000000000,True
