,category,sample_count,perc_w_bw_increase,median_perc_inc_bw,perc_of_bw_inc_dists_w_cost_inc,sample_dists_w_bw_and_cost_inc,median_perc_bw_inc_among_cost_increasers,median_perc_cost_inc_among_cost_increasers
0,All,470,0.89148936170212765957,4.0000000000000000,0.57279236276849642005,240,4.0000000000000000,0.6914378867701365310627
1,Rural,291,0.85223367697594501718,4.0000000000000000,0.56854838709677419355,141,4.0000000000000000,0.68421052631578947368
2,Town,89,0.93258426966292134831,5.6666666666666667,0.65060240963855421687,54,5.3333333333333334,0.8098637037758317157012
3,Suburban,67,0.97014925373134328358,2.3333333333333333,0.53846153846153846154,35,4.0000000000000000,0.8150916844837663392885
4,Urban,23,1.00000000000000000000,4.0000000000000000,0.43478260869565217391,10,3.5000000000000000,0.5909059249172700088501
5,Tiny,82,0.86585365853658536585,4.0000000000000000,0.60563380281690140845,43,4.0000000000000000,0.62182619371706843822609546
6,Small,287,0.87108013937282229965,4.0000000000000000,0.55200000000000000000,138,4.0000000000000000,0.73886643243111047571569409114622
7,Medium,76,0.96052631578947368421,4.0000000000000000,0.63013698630136986301,46,4.0000000000000000,0.6060788169976534928603
8,Large,21,1.00000000000000000000,4.0000000000000000,0.42857142857142857143,9,4.0000000000000000,0.4556500611292783115795
9,Mega,4,1.00000000000000000000,1.90909090909090909091,1.00000000000000000000,4,1.90909090909090909091,1.6606278207261223394451
