,funding_year,district_group,districts_meeting,percent_meeting_of_total_pop,districts_pop,percent_of_meeting_districts,median_ia_bandwidth_per_student_kbps,median_ia_monthly_cost_total,median_ia_monthly_cost_per_mbps,median_ia_bw_mbps_total
0,2019,Large,159,0.21632653061224489796,745,0.03322884012539184953,952.9254812273680198,7497.50000000000000000000,0.5615666610510725697745,10000.0000000000000000
1,2018,Large,118,0.16054421768707482993,747,0.03290574456218627998,889.4821741363759054,7630.2902431779879623913910,0.6364198166281490848381,10000.0000000000000000
2,2017,Large,85,0.12160228898426323319,741,0.03176382660687593423,909.2562284051645754,9640.5016442604302051581357,0.8324403308209327061445,10000.0000000000000000
3,2016,Large,43,0.06544901065449010654,773,0.02823374917925147735,901.8759018759018759,11900.00000000000000000000,1.3004372727272727272727,10000.0000000000000000
4,2015,Large,16,0.02453987730061349693,821,0.01787709497206703911,887.4477671506092920,19015.3856338001748305436832,1.7858160000000000000000,10000.0000000000000000
5,2019,Medium,726,0.29121540312876052948,2570,0.15172413793103448276,1346.6725943059428729,3887.99999999999999999044,0.72750000000000000000,8000.0000000000000000
6,2018,Medium,535,0.20947533281127642913,2579,0.14919129949804796431,1253.1328320802005013,4495.500000000000000000000,0.9176341226695908640526,5550.0000000000000000
7,2017,Medium,384,0.15667074663402692778,2596,0.14349775784753363229,1263.9042244305402201,5690.04308783392957363940,1.20000000000000000000,6000.0000000000000000
8,2016,Medium,189,0.08256880733944954128,2681,0.12409717662508207485,1137.6564277588168373,5020.8561244937801500132106,1.1370401933844445938505,5000.0000000000000000
9,2015,Medium,83,0.03803849679193400550,2867,0.09273743016759776536,1037.8827192527244421,4907.21311732302283539809147304,1.8283075492121310352821,3003.0000000000000000
10,2019,Mega,5,0.03246753246753246753,157,0.00104493207941483804,1107.1438456641479144,31334.70526257995442939918,0.5314244052815943849468,40000.000000000000
11,2017,Mega,2,0.01342281879194630872,159,0.00074738415545590433,1918.1282554345582511,53128.55044492082195523950,0.84116907280170855793,49500.000000000000
12,2016,Mega,1,0.00740740740740740741,166,0.00065659881812212738,796.5905922651053491,3560.00000000000000000000,0.17800000000000000000,20000.000000000000
13,2019,Small,2921,0.39558504875406283857,7609,0.61044932079414838036,1851.8518518518518519,1760.00000000000000000000,1.4789875000000000000000,1000.0000000000000000
14,2018,Small,2130,0.28567596566523605150,7607,0.59397657557166759621,1712.3287671232876712,1900.00000000000000000000,1.7492998603343903142514,1000.0000000000000000
15,2017,Small,1606,0.22330367074527252503,7617,0.60014947683109118087,1635.3240696169356996,1996.8600000000000000000000,1.9878376482146409986044,1000.0000000000000000
16,2016,Small,899,0.13864898210980876002,7537,0.59028233749179251477,1661.1295681063122924,1825.8800000000000000000000,1.7114347264034802837025,1000.0000000000000000
17,2015,Small,500,0.08507742045261187681,7339,0.55865921787709497207,1428.5714285714285714,2039.6250000000000000000000,1.9969019629655217547909,1000.0000000000000000
18,2019,Tiny,974,0.57327839905826957034,1831,0.20355276907001044932,2798.0757520399464134,1200.00000000000000000000,2.18900000000000000000,750.0000000000000000
19,2018,Tiny,803,0.47997609085475194262,1826,0.22392638036809815951,2564.1025641025641026,1304.989149156045470242506480,2.95000000000000000000,500.0000000000000000
20,2017,Tiny,599,0.37887413029728020240,1845,0.22384155455904334828,2500.0000000000000000,1394.00000000000000000000,3.37911303586003712312,300.0000000000000000
21,2016,Tiny,391,0.28540145985401459854,1806,0.25673013788575180565,2403.8461538461538462,1301.4622587120086765616492,2.84197583603944465856923812,500.0000000000000000
22,2015,Tiny,296,0.24422442244224422442,1735,0.33072625698324022346,2227.1825396825396826,1545.213477365166005720902540,5.7301744789586175409697,225.0000000000000000
23,2019,"Medium, Large & Mega",890,0.26315789473684210526,3472,0.18599791013584117032,1237.4710838182455885,4318.80467331905534790210,0.67496076805770855479,10000.0000000000000000
24,2018,"Medium, Large & Mega",653,0.18949506674405107371,3483,0.18209704406023424428,1165.5011655011655012,5000.00000000000000000000,0.87500000000000000000,10000.0000000000000000
25,2017,"Medium, Large & Mega",471,0.14277053652622006669,3496,0.17600896860986547085,1181.8933932159319229,6504.15285739878179863900,1.0983350328950942493132,10000.0000000000000000
26,2016,"Medium, Large & Mega",233,0.07562479714378448556,3620,0.15298752462245567958,1092.8961748633879781,5930.2733702246041612819081,1.19000000000000000000,10000.0000000000000000
