,district_id,state_code,name,num_students,locale,size,meeting_2018_goal_oversub,fy18_ia_bw_mbps_total,fy17_ia_bw_mbps_total,fy18_ia_bandwidth_per_student_kbps,fy17_ia_bandwidth_per_student_kbps,fy18_hierarchy_ia_connect_category,fy17_hierarchy_ia_connect_category
0,881422,CO,Cheyenne Co School District R E 5,194,Rural,Small,True,1000,1000,5155,5464,Fiber,Fiber
1,881423,AR,Dewitt Public School District,1319,Rural,Small,True,2000,2000,1516,1618,Fiber,Fiber
2,881427,AL,Hoover City School District,13938,Urban,Large,True,10000,11510,717,787,Fiber,Fiber
3,881431,AL,Madison City Schools,10440,Suburban,Medium,True,7500,3000,718,293,Fiber,Fiber
4,881435,AR,Warren Public School District 1,998,Town,Small,True,2000,2000,2004,2004,Fiber,Fiber
5,881446,AR,Corning Public School District,935,Town,Small,True,2000,2000,2139,2262,Fiber,Fiber
6,881450,CO,Wray School District R D 2,675,Rural,Small,True,1000,1000,1481,1370,Fiber,Fiber
7,881451,AZ,Clarkdale-Jerome School District 3,453,Town,Tiny,True,800,100,1766,214,Fiber,Fiber
8,881453,AR,Riverside Public School District 15,848,Rural,Small,True,1000,1000,1179,1245,Fiber,Fiber
9,881454,CO,Idalia School District Rj3,226,Rural,Small,True,1040,1020,4602,5340,Fiber,Fiber
10,881456,CA,Fort Sage Unified School District,240,Rural,Small,True,1100,200,4583,784,Fiber,Fiber
11,881458,CO,Liberty School District J4,80,Rural,Tiny,True,1000,1000,12500,15152,Fiber,Fiber
12,881461,CA,Twin Ridges Elem School District,95,Rural,Small,True,106.0,100,1116,1020,Fixed Wireless,Fixed Wireless
13,881462,AR,Sheridan Public School District,4238,Town,Medium,True,5050,5050,1192,1215,Fiber,Fiber
14,881464,AR,Marmaduke School District,813,Rural,Small,True,1000,1000,1230,1351,Fiber,Fiber
15,881466,AR,Paragould School District,3301,Town,Medium,True,4000,4000,1212,1273,Fiber,Fiber
16,881470,AR,Batesville Public School District,3193,Rural,Medium,True,4000,4000,1253,1294,Fiber,Fiber
17,881472,AR,Midland School District,585,Rural,Small,True,1000,1000,1709,1980,Fiber,Fiber
18,881473,AZ,Vernon Elementary District,82,Rural,Tiny,True,100,30,1220,306,Fiber,Fixed Wireless
19,881476,AR,Izard Co Consolidated School District,525,Rural,Small,True,1000,1000,1905,2203,Fiber,Fiber
20,881480,AZ,Heber-Overgaard Unified School District 6,478,Rural,Small,True,500,40,1046,77,Fiber,Copper
21,881483,AR,Newport School District,1272,Town,Small,True,2000,2000,1572,1807,Fiber,Fiber
22,881494,CA,Lucerne Valley Unified School District,726,Town,Small,True,3000,3000,4132,4249,Fiber,Fiber
