,district_id,state_code,name,fiber_target_status_18,fiber_target_status_17,assumed_unscalable_campuses_18,known_unscalable_campuses_18,assumed_unscalable_campuses_17,known_unscalable_campuses_17,num_campuses,num_campuses_17
0,881838,AR,Cossatot River School District,Target,Target,0,1,0.16,0,4,4
1,882025,CO,Durango School District 9-R,Target,Target,0,2,0,1,11,11
2,882543,AK,Yupiit School District,Target,Target,0,3,0,2,3,3
3,882717,CA,Armona Union Elem School District,Target,Target,0.08,2,0,2,3,3
4,882775,AK,Southeast Island School District,Target,Target,0,8,0.08,6,8,9
5,882828,AK,Yukon-Koyukuk School District,Target,Target,0,10,0,9,10,9
6,883388,AZ,Tuba City Unified School District 15,Target,Target,0,4,0,2,4,4
7,883918,CA,Saratoga Union Elem School District,Target,Target,0,4,0,3,4,4
8,894146,IA,Riverside Community School District,Target,Target,0,2,0.24,0,3,3
9,894370,IA,Montezuma Community School District,Not Target,Not Target,0,1,0,0,1,1
10,895448,ID,Kimberly School District 414,Target,Target,0,1,0,0,1,1
11,901045,IL,Oakwood CUSD 76,Target,Target,0,3,0,2,3,3
12,901490,IL,North Boone School District 200,Target,Target,1.36,0,0.32,0,4,4
13,901984,IN,Dekalb County Central United School District,Potential Target,Potential Target,0.01780028943560057886,1,0.24,0,5,5
14,919515,MI,Bedford Public School District,Potential Target,Potential Target,0.32,0,0.24,0,4,4
15,919549,MI,Britton Deerfield Schools,Potential Target,Potential Target,0.16,0,0.08,0,2,2
16,919598,MI,Clinton Community School District,Potential Target,Potential Target,0.24,0,0.16,0,3,3
17,919635,MI,Dundee Community Schools,Potential Target,Potential Target,0.24,0,0.16,0,3,3
18,919742,MI,Hudson Area Schools,Potential Target,Potential Target,0.16,0,0.08,0,2,2
19,919907,MI,Paw Paw Public Schools,Potential Target,Potential Target,0.32,0,0.24,0,4,4
20,919988,MI,Standish-Sterling Community Schools,Target,Target,1.36,0,0.32,0,4,4
21,922587,MN,Eden Valley-Watkins Isd #463,Target,Target,0.08,1,0,1,3,3
22,924414,MO,Neelyville School District R 4,Target,Target,0.08,1,0,1,2,2
23,935936,NE,Dundy Co Public School District,Target,Target,0,2,0,1,3,3
24,952240,OR,Jefferson Co School District 509 J,Target,Target,0.40,0,0.32,0,5,5
25,952282,OR,Nyssa School District 26,Target,Target,1.02,0,0,0,3,3
26,954095,PA,Southeastern Greene School District,Target,Target,0,1,0.16,0,2,2
27,966032,SD,Platte-Geddes School District 11-5,Target,Target,0,2,0,1,3,3
28,968983,TX,Alvord Independent School District,Potential Target,Potential Target,0.16,0,0.08,0,2,2
29,969090,TX,Brock Independent School District,Target,Target,0,1,0,0,2,2
30,975563,VA,Hanover County Public Schools,Target,Target,0,3,0,2,23,23
31,980675,VT,Franklin Northwest S U 21,Target,Target,0,4,0.32,0,5,5
32,984292,WI,Whitefish Bay School District,Target,Target,0,1,0.24,0,3,3
