,line_item_id,state_code,size,funding_year,li_monthly_cost,bandwidth_received,rec_cost_per_meg,service_provider_id,state_network,parent_name,cost_tier,num_lines
0,534,IA,Small,2015,660.00,40,16.5000000000000000,42889,True,"State of Iowa, Iowa Telecommunication & Technology",Mid,1
1,535,IA,Small,2015,954.00,100,9.5400000000000000,42889,True,"State of Iowa, Iowa Telecommunication & Technology",Mid,1
2,539,IA,Small,2015,240.00,10,24.0000000000000000,42889,True,"State of Iowa, Iowa Telecommunication & Technology",Mid,1
3,540,IA,Small,2015,240.00,10,24.0000000000000000,42889,True,"State of Iowa, Iowa Telecommunication & Technology",Mid,1
4,543,IA,Medium,2015,2020.00,400,5.0500000000000000,42889,True,"State of Iowa, Iowa Telecommunication & Technology",Mid,1
5,544,IA,Small,2015,579.00,6,48.2500000000000000,42889,True,"State of Iowa, Iowa Telecommunication & Technology",Mid,2
6,703,TX,Large,2015,5850.00,1000,5.8500000000000000,42380,False,Texas Education Telecommunications Network,Low,1
7,703,TX,Medium,2015,5850.00,1000,5.8500000000000000,42380,False,Texas Education Telecommunications Network,Low,1
8,703,TX,Small,2015,5850.00,1000,5.8500000000000000,42380,False,Texas Education Telecommunications Network,Low,1
9,703,TX,Tiny,2015,5850.00,1000,5.8500000000000000,42380,False,Texas Education Telecommunications Network,Low,1
10,722,TX,Large,2015,9858.33,4000,2.4645825000000000,42380,False,Texas Education Telecommunications Network,Low,1
11,722,TX,Medium,2015,9858.33,4000,2.4645825000000000,42380,False,Texas Education Telecommunications Network,Low,1
12,722,TX,Small,2015,9858.33,4000,2.4645825000000000,42380,False,Texas Education Telecommunications Network,Low,1
13,722,TX,Tiny,2015,9858.33,4000,2.4645825000000000,42380,False,Texas Education Telecommunications Network,Low,1
14,727,TX,Large,2015,9200.00,1000,9.2000000000000000,42496,False,AT&T,Low,1
15,727,TX,Medium,2015,9200.00,1000,9.2000000000000000,42496,False,AT&T,Low,1
16,727,TX,Small,2015,9200.00,1000,9.2000000000000000,42496,False,AT&T,Low,1
17,727,TX,Tiny,2015,9200.00,1000,9.2000000000000000,42496,False,AT&T,Low,1
18,768,MT,Tiny,2015,39.00,1.5,26.0000000000000000,40554,False,Immense Networks,Low,1
19,2800,CA,Small,2015,1375.00,1000,1.3750000000000000,43335,False,Monterey County Office of Education,Low,1
20,2847,CA,Tiny,2015,691.67,100,6.9167000000000000,40628,False,Lassen County Office of Education,Low,1
21,3216,CA,Small,2015,420.00,20,21.0000000000000000,37109,False,Shasta County Office of Education,Low,1
22,3295,CA,Tiny,2015,691.67,5,138.3340000000000000,40628,False,Lassen County Office of Education,Low,1
23,3695,CA,Large,2015,4528.83,1000,4.5288300000000000,40485,False,LA County Office of Education LACOE,Low,1
24,3759,CA,Small,2015,691.67,5,138.3340000000000000,40628,False,Lassen County Office of Education,Low,1
25,3901,CA,Medium,2015,2300.00,1000,2.3000000000000000,43136,False,Foothills Education and Technology Partnership,Low,1
26,4051,CA,Tiny,2015,658.33,1.5,438.8866666666666667,43949,False,Butte County Office of Education,Low,1
27,4066,CA,Large,2015,3700.00,1000,3.7000000000000000,40485,False,LA County Office of Education LACOE,Low,1
28,4082,CA,Medium,2015,283.33,100,2.8333000000000000,43894,False,Contra Costa County Office of Ed.,Low,1
29,4110,CA,Medium,2015,6000.00,1000,6.0000000000000000,43136,False,Foothills Education and Technology Partnership,Low,1
30,4128,CA,Medium,2015,436.89,1000,0.43689000000000000000,42537,False,San Luis Obispo County Office of Education,Low,1
31,4291,CA,Large,2015,643.83,2500,0.25753200000000000000,43868,False,Solano County Office of Education,Low,1
32,4308,CA,Medium,2015,1725.00,1000,1.7250000000000000,40485,False,LA County Office of Education LACOE,Low,1
33,4310,CA,Medium,2015,6500.00,1000,6.5000000000000000,39424,False,Orange County DOE,Low,1
34,4596,CA,Medium,2015,2737.50,1000,2.7375000000000000,40485,False,LA County Office of Education LACOE,Low,1
35,4693,CA,Large,2015,7125.00,1000,7.1250000000000000,39443,False,VCedNet,Low,1
36,9509,IL,Small,2015,1016.00,100,10.1600000000000000,41676,False,Illinois Century Network,High,1
37,9785,IL,Large,2015,97.85,16,6.1156250000000000,42991,False,Comcast,High,1
38,9785,IL,Small,2015,97.85,16,6.1156250000000000,42991,False,Comcast,High,1
39,9785,IL,Tiny,2015,97.85,16,6.1156250000000000,42991,False,Comcast,High,1
40,10073,IL,Small,2015,2182.17,90,24.2463333333333333,41676,False,Illinois Century Network,High,1
41,10131,IL,Small,2015,583.50,50,11.6700000000000000,41676,False,Illinois Century Network,High,1
42,10491,IL,Small,2015,1525.50,50,30.5100000000000000,41676,False,Illinois Century Network,High,1
43,11092,IL,Small,2015,750.00,250,3.0000000000000000,37843,False,Northern Illinois University,High,1
44,11350,IL,Tiny,2015,600.00,50,12.0000000000000000,41676,False,Illinois Century Network,High,1
45,11363,IL,Small,2015,127.85,16,7.9906250000000000,42991,False,Comcast,High,1
46,11363,IL,Tiny,2015,127.85,16,7.9906250000000000,42991,False,Comcast,High,1
47,11534,IL,Small,2015,141.67,10,14.1670000000000000,41676,False,Illinois Century Network,High,1
48,11617,IL,Tiny,2015,2200.00,250,8.8000000000000000,41676,False,Illinois Century Network,High,1
49,16477,MI,Small,2015,12269.25,1500,8.1795000000000000,43311,False,Air Advantage,Low,1
50,16720,MI,Medium,2015,3885.83,1000,3.8858300000000000,40942,False,Merit Network,Low,1
51,16720,MI,Small,2015,3885.83,1000,3.8858300000000000,40942,False,Merit Network,Low,1
52,16995,MI,Small,2015,1490.50,50,29.8100000000000000,43171,False,Regional Educational Media Center No. 1,Low,1
53,17259,MI,Tiny,2015,967.00,50,19.3400000000000000,43171,False,Regional Educational Media Center No. 1,Low,1
54,18428,MI,Small,2015,8036.65,2000,4.0183250000000000,42991,False,Comcast,Low,1
55,18776,MI,Medium,2015,14285.33,10000,1.42853300000000000000,40007,False,Windstream,Low,1
56,18777,MI,Medium,2015,12818.00,10000,1.28180000000000000000,42991,False,Comcast,Low,1
57,19734,MO,Small,2015,2288.00,100,22.8800000000000000,40007,True,Windstream,Low,1
58,23706,NM,Large,2015,5407.65,200,27.0382500000000000,41448,False,CenturyLink,High,1
59,24319,NY,Medium,2015,2250.00,25,90.0000000000000000,37997,False,NYSERNet.org,Low,1
60,24319,NY,Small,2015,2250.00,25,90.0000000000000000,37997,False,NYSERNet.org,Low,1
61,24971,NY,Small,2015,7780.00,1000,7.7800000000000000,41616,False,TW Telecommunications Holdings,Low,1
62,24971,NY,Tiny,2015,7780.00,1000,7.7800000000000000,41616,False,TW Telecommunications Holdings,Low,1
63,25027,NY,Small,2015,2675.00,10000,0.26750000000000000000,42970,False,Hudson Valley DataNet,Low,1
64,26193,OH,Medium,2015,406.25,100,4.0625000000000000,42481,False,North Coast Council,Mid,1
65,26402,OH,Small,2015,450.00,100,4.5000000000000000,37208,False,Ohio Mid Eastern Regional Education Service Agency,Mid,1
66,32189,PA,Large,2015,3900.00,9000,0.14444444444444444444,42680,False,Cogent Communications,Low,3
67,32189,PA,Medium,2015,3900.00,9000,0.14444444444444444444,42680,False,Cogent Communications,Low,3
68,32189,PA,Small,2015,3900.00,9000,0.14444444444444444444,42680,False,Cogent Communications,Low,3
