,bandwidth_in_mbps,funding_year,purpose,state_network,max
0,100,2015,upstream,False,1076.2200000000000000
1,100,2016,upstream,False,969.1300000000000000
2,100,2017,upstream,False,682.1100000000000000
3,100,2018,upstream,False,600.0000000000000000
4,100,2019,upstream,False,564.0000000000000000
5,1000,2015,upstream,False,883.4800000000000000
6,1000,2016,upstream,False,937.0700000000000000
7,1000,2017,upstream,False,864.5000000000000000
8,1000,2018,upstream,False,820.5000000000000000
9,1000,2019,upstream,False,690.6900000000000000
10,2000,2015,upstream,False,1580.0000000000000000
11,2000,2016,upstream,False,2770.2000000000000000
12,2000,2017,upstream,False,1662.0000000000000000
13,2000,2018,upstream,False,1662.0000000000000000
14,2000,2019,upstream,False,1068.7500000000000000
15,5000,2016,upstream,False,2035.0000000000000000
16,5000,2017,upstream,False,1740.0000000000000000
17,5000,2018,upstream,False,1740.0000000000000000
18,5000,2019,upstream,False,725.0000000000000000
19,10000,2015,upstream,False,1500.0000000000000000
20,10000,2016,upstream,False,1337.7500000000000000
21,10000,2017,upstream,False,1068.7500000000000000
22,10000,2018,upstream,False,1600.0000000000000000
23,10000,2019,upstream,False,874.5000000000000000
24,100,2015,upstream,True,1021.7520000000000000
25,100,2016,upstream,True,848.8500000000000000
26,100,2017,upstream,True,994.9300000000000000
27,100,2018,upstream,True,550.0000000000000000
28,100,2019,upstream,True,540.0000000000000000
29,1000,2015,upstream,True,1103.0000000000000000
30,1000,2016,upstream,True,997.5000000000000000
31,1000,2017,upstream,True,950.0000000000000000
32,1000,2018,upstream,True,925.0000000000000000
33,1000,2019,upstream,True,925.0000000000000000
34,2000,2015,upstream,True,2702.0000000000000000
35,2000,2016,upstream,True,2330.0000000000000000
36,2000,2017,upstream,True,1090.0000000000000000
37,2000,2018,upstream,True,1361.6500000000000000
38,2000,2019,upstream,True,1361.6500000000000000
39,5000,2015,upstream,True,2303.9100000000000000
40,5000,2016,upstream,True,2511.2600000000000000
41,5000,2017,upstream,True,2511.2600000000000000
42,5000,2018,upstream,True,2995.0800000000000000
43,5000,2019,upstream,True,2671.5000000000000000
44,10000,2015,upstream,True,4000.0000000000000000
45,10000,2016,upstream,True,3884.5000000000000000
46,10000,2017,upstream,True,1008.3100000000000000
47,10000,2018,upstream,True,2300.0000000000000000
48,10000,2019,upstream,True,1600.0000000000000000
49,100,2015,wan,False,705.0000000000000000
50,100,2016,wan,False,650.0000000000000000
51,100,2017,wan,False,625.0000000000000000
52,100,2018,wan,False,600.0000000000000000
53,100,2019,wan,False,712.5000000000000000
54,1000,2015,wan,False,820.9565217391304348
55,1000,2016,wan,False,798.8100000000000000
56,1000,2017,wan,False,781.5200000000000000
57,1000,2018,wan,False,723.3600000000000000
58,1000,2019,wan,False,625.0000000000000000
59,2000,2015,wan,False,200.0000000000000000
60,2000,2016,wan,False,1067.7081250000000000
61,2000,2017,wan,False,1000.0000000000000000
62,2000,2018,wan,False,995.0000000000000000
63,2000,2019,wan,False,997.4411764705882353
64,5000,2015,wan,False,300.3000000000000000
65,5000,2016,wan,False,1550.0000000000000000
66,5000,2017,wan,False,1376.7700000000000000
67,5000,2018,wan,False,1100.0000000000000000
68,5000,2019,wan,False,1100.0000000000000000
69,10000,2015,wan,False,867.8947368421052632
70,10000,2016,wan,False,999.0000000000000000
71,10000,2017,wan,False,850.0000000000000000
72,10000,2018,wan,False,837.6923076923076923
73,10000,2019,wan,False,669.5600000000000000
74,100,2015,wan,True,800.2783606557377049
75,100,2016,wan,True,665.4200000000000000
76,100,2017,wan,True,650.0000000000000000
77,100,2018,wan,True,476.0000000000000000
78,100,2019,wan,True,476.0000000000000000
79,1000,2015,wan,True,872.5000000000000000
80,1000,2016,wan,True,758.7500000000000000
81,1000,2017,wan,True,750.0000000000000000
82,1000,2018,wan,True,725.0000000000000000
83,1000,2019,wan,True,600.0000000000000000
84,2000,2015,wan,True,1054.2857142857142857
85,2000,2016,wan,True,1125.0000000000000000
86,2000,2017,wan,True,900.0000000000000000
87,2000,2018,wan,True,900.0000000000000000
88,2000,2019,wan,True,1000.0000000000000000
89,5000,2015,wan,True,1561.9600000000000000
90,5000,2016,wan,True,1450.0000000000000000
91,5000,2017,wan,True,1450.0000000000000000
92,5000,2018,wan,True,1240.5500000000000000
93,5000,2019,wan,True,786.0000000000000000
94,10000,2015,wan,True,1022.5806451612903226
95,10000,2016,wan,True,1118.3875000000000000
96,10000,2017,wan,True,1190.4761904761904762
97,10000,2018,wan,True,1079.5357142857142857
98,10000,2019,wan,True,1021.0179166666662500
