,state_code,stud_pop,district_count,tengig_lines,onegig_lines,tot_cost
0,AL,709681,123,112,64,346608
1,AR,7690,6,1,2,4749
2,CT,343924,91,68,52,225660
3,DE,72677,10,10,4,28962
4,GA,1542713,165,205,74,584457
5,IA,380054,233,42,144,268938
6,KY,673469,173,120,80,384600
7,ME,92480,56,21,32,88149
8,MO,702680,341,103,112,380295
9,MS,458647,121,86,84,306510
10,NC,1292226,114,171,36,457731
11,ND,14096,15,1,8,11697
12,NE,252915,163,27,30,100431
13,RI,124476,33,26,10,74838
14,SC,706272,65,99,10,252447
15,SD,27661,5,4,0,9732
16,UT,456824,27,55,12,147711
17,WA,866667,189,121,84,391665
18,WI,409156,180,69,140,329997
19,WV,219922,43,37,24,117813
20,WY,38794,14,6,16,33126
