,state_code,stud_pop,district_count,tengig_lines,onegig_lines,tot_cost
0,AL,709681,123,112,64,346608
1,AR,7690,6,1,2,9156
2,CT,343924,91,68,52,225660
3,DE,72677,10,10,4,28018
4,GA,1542713,165,205,74,524325
5,IA,380054,233,42,144,172746
6,KY,673469,173,120,80,1058000
7,ME,92480,56,21,32,55925
8,MO,702680,341,103,112,380295
9,MS,458647,121,86,84,306510
10,NC,1292226,114,171,36,457731
11,ND,14096,15,1,8,11697
12,NE,252915,163,27,30,79230
13,RI,124476,33,26,10,72018
14,SC,706272,65,99,10,252447
15,SD,27661,5,4,0,9732
16,UT,456824,27,55,12,144495
17,WA,866667,189,121,84,391665
18,WI,409156,180,69,140,240975
19,WV,219922,43,37,24,251089
20,WY,38794,14,6,16,33126
