district_id,funding_year,name,state_code,num_students,ia_bw_mbps_total,ia_monthly_cost_total,upstream_monthly_cost_total,projected_mrc_1g,projected_mrc_10g,multiple_10G_no_oversub,projected_mrc_10g_10kplus_no_oversub,total_projected_cost
881421,2019,Marshall County School District,AL,5687.0,2000,5284.84,0,0.0,2500.0,0.0,0.0,2500.0
881423,2019,Dewitt Public School District,AR,1319.0,2000,4260.157790507636,2640.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881427,2019,Hoover City School District,AL,13938.0,10000,612.5,0,0.0,0.0,2.0,5000.0,5000.0
881431,2019,Madison City Schools,AL,10440.0,7500,16497.22,0,0.0,0.0,2.0,5000.0,5000.0
881435,2019,Warren Public School District 1,AR,998.0,2000,3625.8661674955424,2400.00000000000000000000,890.0,0.0,0.0,0.0,890.0
881439,2019,Leeds City School District,AL,1404.0,1000,3985.09,0,0.0,2500.0,0.0,0.0,2500.0
881443,2019,Boaz City School System,AL,2389.0,1500,6610.84,0,0.0,2500.0,0.0,0.0,2500.0
881446,2019,Corning Public School District,AR,935.0,2000,3908.4818302688695,2760.00000000000000000000,890.0,0.0,0.0,0.0,890.0
881453,2019,Riverside Public School District 15,AR,848.0,1000,1536.6177455272743,495.00000000000000000000,890.0,0.0,0.0,0.0,890.0
881462,2019,Sheridan Public School District,AR,4238.0,5050,13305.972082010128,6750.3400000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881464,2019,Marmaduke School District,AR,813.0,1000,2438.6264470680117,1440.00000000000000000000,890.0,0.0,0.0,0.0,890.0
881466,2019,Paragould School District,AR,3301.0,4000,5494.693606115015,1440.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881470,2019,Batesville Public School District,AR,3193.0,4000,5362.034742297862,1440.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881471,2019,Trussville City,AL,4539.0,2000,7869.98,0,0.0,2500.0,0.0,0.0,2500.0
881472,2019,Midland School District,AR,585.0,1000,4122.778845676245,3404.2100000000000000000000,890.0,0.0,0.0,0.0,890.0
881476,2019,Izard Co Consolidated School District,AR,525.0,1000,2296.2394768889376,2950.7866666666700000000000000000000,890.0,0.0,0.0,0.0,890.0
881483,2019,Newport School District,AR,1272.0,2000,2372.4266182909114,1642.9516666666700000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881509,2019,Alexander City School District,AL,3055.0,2000,7336.81,0,0.0,2500.0,0.0,0.0,2500.0
881522,2019,Pine Bluff School District,AR,3912.0,6000,8126.798844932426,3321.600000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881532,2019,Star City Public School District,AR,1588.0,2000,5910.576627237396,3960.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881539,2019,Gosnell Public School District,AR,1331.0,2000,2444.897664265097,810.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
881545,2019,Nevada School District 1,AR,389.0,1000,2877.817574304375,2400.00000000000000000000,890.0,0.0,0.0,0.0,890.0
881560,2019,Bearden Public School District,AR,468.0,1000,3253.855076540996,2679.00000000000000000000,890.0,0.0,0.0,0.0,890.0
881573,2019,Andalusia City School District,AL,1744.0,1500,5428.13,0,0.0,2500.0,0.0,0.0,2500.0
881623,2019,Attalla City School District,AL,1611.0,1000,4060.46,0,0.0,2500.0,0.0,0.0,2500.0
881578,2019,Anniston City School System,AL,2069.0,1000,5620.79,0,0.0,2500.0,0.0,0.0,2500.0
