district_id,funding_year,name,state_code,fit_for_ia,fit_for_ia_cost,num_students,num_schools,ia_bw_mbps_total,ia_monthly_cost_total,ia_monthly_cost_total_extrap,meeting_2018_goal_oversub,projected_mrc_1g,projected_mrc_10g,multiple_10G_no_oversub,projected_mrc_10g_10kplus_no_oversub,projected_isp_3,projected_isp_49,projected_isp_74,total_projected_cost3,total_projected_cost49,total_projected_cost74
881666,2019,Alabaster City School District,AL,True,True,6114.0,6.0,2000,6345.07,6345.07,False,0.0,2200.0,0.0,0.0,311.814,509.29620000000006,769.1412,2511.814,2709.2962,2969.1412
882387,2019,Albertville City School District,AL,True,True,5447.0,6.0,2500,10546.22,10546.22,False,0.0,2200.0,0.0,0.0,277.797,453.73510000000005,685.2326,2477.797,2653.7351,2885.2326000000003
881509,2019,Alexander City School District,AL,True,True,3055.0,5.0,2000,7336.81,7336.81,False,0.0,2200.0,0.0,0.0,155.805,254.4815,384.319,2355.805,2454.4815,2584.319
881573,2019,Andalusia City School District,AL,True,True,1744.0,3.0,1500,5428.13,5428.13,False,0.0,2200.0,0.0,0.0,88.944,145.2752,219.39520000000002,2288.944,2345.2752,2419.3952
881578,2019,Anniston City School System,AL,True,True,2069.0,6.0,1000,5620.79,5620.79,False,0.0,2200.0,0.0,0.0,105.519,172.3477,260.28020000000004,2305.5190000000002,2372.3477,2460.2802
881584,2019,Arab City School District,AL,True,True,2612.0,4.0,1500,12871.09,12871.09,False,0.0,2200.0,0.0,0.0,133.212,217.5796,328.5896,2333.212,2417.5796,2528.5896000000002
881588,2019,Athens City School District,AL,True,True,5101.0,8.0,1500,5076.26,5076.26,False,0.0,2200.0,0.0,0.0,260.151,424.91330000000005,641.7058000000001,2460.151,2624.9133,2841.7058
881623,2019,Attalla City School District,AL,True,True,1611.0,3.0,1000,4060.46,4060.46,False,0.0,2200.0,0.0,0.0,82.161,134.1963,202.6638,2282.161,2334.1963,2402.6638
881671,2019,Auburn City School District,AL,True,True,8543.0,11.0,2500,9051.93,9051.93,False,0.0,2200.0,0.0,0.0,435.69300000000004,711.6319000000001,1074.7094000000002,2635.693,2911.6319000000003,3274.7094
881677,2019,Autauga County Board Of Education,AL,True,True,9307.0,14.0,1500,6421.98,6421.98,False,0.0,2200.0,0.0,0.0,474.657,775.2731,1170.8206,2674.657,2975.2731,3370.8206
881684,2019,Baldwin County Board of Education,AL,True,True,31214.0,43.0,6000,25678.67,25678.67,False,0.0,0.0,4.0,8800.0,1591.914,2600.1262,3926.7212,10391.914,11400.1262,12726.7212
881688,2019,Barbour County School District,AL,True,True,847.0,3.0,1000,4060.46,4060.46,True,1100.0,0.0,0.0,0.0,43.197,70.55510000000001,106.55260000000001,1143.1970000000001,1170.5551,1206.5526
