state_code,year,num_students,num_students_meeting,pct_students_meeting,pct_students_meeting_rounded,num_students_formatted,num_students_meeting_rounded,num_students_meeting_rounded_formatted
AL,2023,735819.0,735819.0,100.0,100.0,736k,735819.0,736k
AR,2023,473462.0,473462.0,100.0,100.0,473k,473462.0,473k
CT,2023,486495.0,133645.0,27.470991479871326,27.0,486k,133645.0,134k
DE,2023,112978.0,112978.0,100.0,100.0,113k,112978.0,113k
GA,2023,1714011.0,1714011.0,100.0,100.0,1.7M,1714011.0,1.7M
KY,2023,673469.0,673469.0,100.0,100.0,673k,673469.0,673k
ME,2023,173580.0,61905.92988929887,35.66420664206641,36.0,174k,61906.0,62k
NC,2023,1460970.0,1460970.0,100.0,100.0,1.5M,1460970.0,1.5M
ND,2023,107440.0,107440.0,100.0,100.0,107k,107440.0,107k
NE,2023,315348.0,315348.0,100.0,100.0,315k,315348.0,315k
RI,2023,130071.0,130071.0,100.0,100.0,130k,130071.0,130k
SC,2023,738444.0,738444.0,100.0,100.0,738k,738444.0,738k
SD,2023,133665.0,133665.0,100.0,100.0,134k,133665.0,134k
UT,2023,570092.0,570092.0,100.0,100.0,570k,570092.0,570k
WA,2023,1069712.0,1069712.0,100.0,100.0,1.1M,1069712.0,1.1M
WV,2023,272769.0,272769.0,100.0,100.0,273k,272769.0,273k
WY,2023,92947.0,92947.0,100.0,100.0,93k,92947.0,93k
AK,2023,122267.0,120575.0,98.61614335838779,99.0,122k,120575.0,121k
AZ,2023,927230.0,818928.0,88.31983434530807,88.0,927k,818928.0,819k
CA,2023,5722099.0,5382186.0,94.05964489604251,94.0,5.7M,5382186.0,5.4M
CO,2023,791136.0,750468.0,94.85954374469118,95.0,791k,750468.0,750k
FL,2023,2530242.0,2392508.0,94.55648906310148,95.0,2.5M,2392508.0,2.4M
IA,2023,496888.0,379366.0,76.3483923942619,76.0,497k,379366.0,379k
ID,2023,276590.0,185263.0,66.98109114573919,67.0,277k,185263.0,185k
IL,2023,1912058.0,1720946.0,90.00490570892724,90.0,1.9M,1720946.0,1.7M
IN,2023,998011.0,938634.0,94.0504663776251,94.0,998k,938634.0,939k
KS,2023,486598.0,407157.0,83.67420334649958,84.0,487k,407157.0,407k
LA,2023,637614.0,613550.0,96.22592979451518,96.0,638k,613550.0,614k
MA,2023,872222.0,783080.0,89.77989548532369,90.0,872k,783080.0,783k
MD,2023,879399.0,825506.0,93.87161004276786,94.0,879k,825506.0,826k
MI,2023,1305178.0,878892.0,67.3388610595643,67.0,1.3M,878892.0,879k
MN,2023,793350.0,633163.0,79.80878552971576,80.0,793k,633163.0,633k
MO,2023,878868.0,730243.0,83.08904181287747,83.0,879k,730243.0,730k
MT,2023,146548.0,86190.0,58.81349455468515,59.0,147k,86190.0,86k
NH,2023,176230.0,149633.0,84.90779095500199,85.0,176k,149633.0,150k
NJ,2023,1278014.0,1225324.0,95.87719696341355,96.0,1.3M,1225324.0,1.2M
NM,2023,315440.0,294275.0,93.29032462591935,93.0,315k,294275.0,294k
NV,2023,443283.0,39295.0,8.864540259834012,9.0,443k,39295.0,39k
