district_id,state_code,primary_new_contract_start_date,clean_path_1m_sample,not_meeting,meeting,sample,population,num_students
881421,AL,2021.0,1,1,0,1,1,5687
881422,CO,2020.0,0,0,1,1,1,194
881423,AR,2020.0,0,0,1,1,1,1319
881424,AZ,2021.0,1,1,0,1,1,5387
881427,AL,2022.0,0,0,1,1,1,13938
881428,AZ,2022.0,1,1,0,1,1,2297
881431,AL,2021.0,1,1,0,1,1,10440
881433,CA,2020.0,1,1,0,1,1,3858
881435,AR,2020.0,0,0,1,1,1,998
881439,AL,2021.0,1,1,0,1,1,1404
881443,AL,2021.0,1,1,0,1,1,2389
881445,CA,2020.0,1,1,0,1,1,2225
881446,AR,2020.0,0,0,1,1,1,935
881447,CO,2020.0,1,1,0,1,1,759
881450,CO,2022.0,0,0,1,1,1,675
881451,AZ,2022.0,1,1,0,1,1,453
881452,CA,2023.0,1,1,0,1,1,245
881453,AR,2020.0,0,0,1,1,1,848
881454,CO,2020.0,0,0,1,1,1,226
881455,AZ,2020.0,1,1,0,1,1,128
881456,CA,2022.0,0,0,1,1,1,240
881458,CO,2020.0,0,0,1,1,1,80
881461,CA,2024.0,0,0,1,1,1,95
881462,AR,2020.0,0,0,1,1,1,4238
881464,AR,2020.0,0,0,1,1,1,813
881466,AR,2020.0,0,0,1,1,1,3301
881468,AZ,2021.0,1,1,0,1,1,536
881470,AR,2020.0,0,0,1,1,1,3193
881471,AL,2021.0,1,1,0,1,1,4539
881472,AR,2020.0,0,0,1,1,1,585
881473,AZ,2020.0,0,0,1,1,1,82
881476,AR,2020.0,0,0,1,1,1,525
881477,AZ,2022.0,1,1,0,1,1,1131
881480,AZ,2020.0,0,0,1,1,1,478
881483,AR,2020.0,0,0,1,1,1,1272
881485,CA,2023.0,1,1,0,1,1,12214
881490,CA,2020.0,1,1,0,1,1,22151
881494,CA,2020.0,0,0,1,1,1,726
881501,CA,2022.0,0,0,1,1,1,11015
881509,AL,2021.0,1,1,0,1,1,3055
881515,CA,2021.0,1,1,0,1,1,12896
881521,CA,2020.0,0,0,1,1,1,267
881522,AR,2020.0,0,0,1,1,1,3912
881526,CA,2020.0,1,1,0,1,1,10608
881532,AR,2020.0,0,0,1,1,1,1588
881533,CA,2020.0,1,1,0,1,1,14728
881539,AR,2020.0,0,0,1,1,1,1331
881542,CA,2020.0,1,1,0,1,1,278
881545,AR,2020.0,0,0,1,1,1,389
881548,CA,2020.0,0,0,1,1,1,3321
881554,CA,2020.0,0,0,1,1,1,6730
881558,CA,2020.0,1,1,0,1,1,785
881560,AR,2020.0,0,0,1,1,1,468
881573,AL,2021.0,1,1,0,1,1,1744
881574,CA,2022.0,1,1,0,1,1,21489
881577,CA,2022.0,1,1,0,1,1,29890
881578,AL,2021.0,1,1,0,1,1,2069
881583,CA,2023.0,0,0,1,1,1,22967
881584,AL,2021.0,1,1,0,1,1,2612
881587,CA,2020.0,0,0,1,1,1,14
881588,AL,2021.0,1,1,0,1,1,5101
881591,CA,2020.0,0,0,1,1,1,9692
881597,CA,2021.0,0,0,1,1,1,2325
881601,CA,2020.0,1,1,0,1,1,5015
881602,AR,2020.0,0,0,1,1,1,414
881605,CA,2021.0,0,0,1,1,1,2561
881606,AR,2020.0,0,0,1,1,1,1998
881611,AR,2020.0,0,0,1,1,1,3858
881616,AR,2020.0,0,0,1,1,1,2773
881622,AR,2020.0,0,0,1,1,1,1246
881623,AL,2021.0,1,1,0,1,1,1611
881626,AR,2020.0,0,0,1,1,1,1115
881627,CA,2022.0,1,1,0,1,1,11890
881633,CA,2020.0,1,1,0,1,1,513
881634,AR,2020.0,0,0,1,1,1,1629
881638,CA,2020.0,1,1,0,1,1,1213
881639,AR,2020.0,0,0,1,1,1,778
881640,AL,2021.0,1,1,0,1,1,3054
881642,AZ,2022.0,0,0,1,1,1,1716
881644,CA,2021.0,1,1,0,1,1,2589
881645,AR,2020.0,0,0,1,1,1,2386
881650,CA,2020.0,1,1,0,1,1,1609
881651,AR,2020.0,0,0,0,0,1,802
881654,AL,2021.0,1,1,0,1,1,1056
881656,CA,2025.0,1,1,0,1,1,1633
881659,AL,2021.0,1,1,0,1,1,1417
881663,CA,2022.0,1,1,0,1,1,2502
881666,AL,2021.0,1,1,0,1,1,6114
881669,CA,2020.0,0,0,1,1,1,1600
881671,AL,2021.0,1,1,0,1,1,8543
881674,CA,2020.0,1,1,0,1,1,2173
881677,AL,2021.0,1,1,0,1,1,9307
881681,CA,2021.0,1,1,0,1,1,2424
881684,AL,2020.0,1,1,0,1,1,31214
881688,AL,2021.0,0,0,1,1,1,847
881694,AL,2021.0,1,1,0,1,1,3605
881696,CA,2022.0,1,1,0,1,1,15001
881699,AL,2021.0,1,1,0,1,1,3291
881701,CA,2020.0,1,1,0,1,1,6671
881705,AL,2021.0,1,1,0,1,1,23141
881706,CA,2021.0,0,0,1,1,1,639
881708,AR,2020.0,0,0,1,1,1,599
881712,CA,2022.0,1,1,0,1,1,1994
881716,AR,2021.0,1,1,0,1,1,954
881717,CO,2020.0,1,1,0,1,1,21440
881719,CA,2021.0,1,1,0,1,1,3713
881720,AL,2021.0,1,1,0,1,1,7793
881722,CO,2020.0,1,1,0,1,1,7255
881724,CO,2020.0,0,0,1,1,1,5
881725,AL,2021.0,1,1,0,1,1,1113
881728,AR,2020.0,0,0,1,1,1,1038
881730,CO,2020.0,1,1,0,1,1,124
881732,AL,2021.0,1,1,0,1,1,1476
881734,AR,2020.0,0,0,1,1,1,787
881735,CA,2020.0,1,1,0,1,1,2061
881736,CO,2020.0,0,0,1,1,1,378
881737,AL,2021.0,1,1,0,1,1,3131
881739,AR,2020.0,0,0,1,1,1,452
881740,CA,2020.0,1,1,0,1,1,2875
881741,CO,2021.0,0,0,0,0,1,2280
881743,AL,2021.0,1,1,0,1,1,8888
881744,AR,2020.0,0,0,0,0,1,357
881746,CA,2020.0,1,1,0,1,1,5265
881747,CO,2020.0,0,0,1,1,1,212
881749,AR,2020.0,0,0,1,1,1,756
881750,AL,2021.0,1,1,0,1,1,3651
881751,CA,2020.0,0,0,1,1,1,1825
881752,CO,2021.0,1,1,0,1,1,1568
881755,CA,2022.0,1,1,0,1,1,14368
881758,CA,2020.0,1,1,0,1,1,6525
881759,AL,2021.0,1,1,0,1,1,4021
881760,AR,2020.0,0,0,1,1,1,644
881763,AL,2021.0,1,1,0,1,1,7756
881765,CO,2020.0,0,0,1,1,1,97
881767,CA,2020.0,1,1,0,1,1,1442
881769,AL,2021.0,1,1,0,1,1,1417
881770,AR,2020.0,0,0,1,1,1,894
881771,CO,2020.0,0,0,1,1,1,198
881773,CA,2022.0,0,0,1,1,1,1845
881775,CO,2020.0,0,0,1,1,1,1670
881777,CA,2021.0,1,1,0,1,1,4063
881780,AR,2020.0,0,0,1,1,1,971
881782,AL,2021.0,1,1,0,1,1,2691
881785,CA,2020.0,1,1,0,1,1,179
881787,AL,2020.0,1,1,0,1,1,1936
881792,AL,2021.0,1,1,0,1,1,2614
881795,CO,2020.0,1,1,0,1,1,853
881798,AL,2021.0,1,1,0,1,1,2148
881806,AL,2021.0,1,1,0,1,1,2619
881807,CO,2020.0,1,1,0,1,1,37704
881811,AL,2021.0,1,1,0,1,1,1858
881812,CO,2022.0,1,1,0,1,1,989
881816,CO,2020.0,0,1,0,1,1,1381
881821,CO,2020.0,1,1,0,1,1,1029
881824,AL,2021.0,0,0,1,1,1,980
881825,CO,2020.0,0,0,1,1,1,51
881830,AL,2021.0,1,1,0,1,1,3121
881831,CO,2020.0,1,1,0,1,1,30971
881836,AL,2021.0,1,1,0,1,1,2293
881837,CO,2020.0,0,0,1,1,1,65
881838,AR,2020.0,0,0,1,1,1,1022
881841,CO,2020.0,0,0,1,1,1,181
881842,AL,2021.0,1,1,0,1,1,3094
881847,AL,2021.0,1,1,0,1,1,9477
881851,AL,2021.0,1,1,0,1,1,3135
881854,AL,2021.0,1,1,0,1,1,1004
881856,CO,2021.0,1,1,0,1,1,13873
881860,AL,2021.0,1,1,0,1,1,3145
881861,CO,2020.0,0,0,1,1,1,1543
881862,AR,2020.0,1,1,0,1,1,3152
881865,AL,2021.0,1,1,0,1,1,9023
881867,AR,2020.0,0,0,1,1,1,528
881868,CO,2021.0,1,1,0,1,1,998
881871,AL,2021.0,1,1,0,1,1,8746
881872,CO,2020.0,0,0,1,1,1,775
881876,AL,2021.0,1,1,0,1,1,2296
881877,CO,2020.0,0,0,1,1,1,734
881878,AR,2020.0,0,0,1,1,1,1856
881881,AL,2021.0,1,1,0,1,1,9213
881883,CO,2022.0,0,0,1,1,1,442
881884,AR,2020.0,0,0,1,1,1,447
881886,AL,2021.0,0,0,1,1,1,613
881888,CO,2020.0,0,0,1,1,1,39
881890,AR,2020.0,0,0,1,1,1,1419
881892,AL,2021.0,1,1,0,1,1,11417
881894,CO,2020.0,1,1,0,1,1,3602
881896,AR,2020.0,0,0,1,1,1,1034
881897,AL,2021.0,1,1,0,1,1,7052
881900,CO,2020.0,0,0,1,1,1,618
881901,AR,2020.0,0,0,1,1,1,432
881902,AL,2021.0,1,1,0,1,1,4151
881905,CO,2022.0,0,0,1,1,1,216
881907,AL,2021.0,1,1,0,1,1,8764
881909,CO,2020.0,1,1,0,1,1,53435
881910,AR,2020.0,0,0,1,1,1,1270
881913,CO,2023.0,1,1,0,1,1,3739
881916,AR,2020.0,0,0,0,0,1,830
881918,CO,2020.0,0,0,1,1,1,714
881920,AL,2022.0,1,1,0,1,1,3949
881921,AR,2020.0,0,0,1,1,1,1673
881924,CO,2020.0,1,1,0,1,1,305
881925,AL,2021.0,1,1,0,1,1,1740
881927,AR,2020.0,0,0,1,1,1,590
881930,CO,2023.0,1,1,0,1,1,26053
881931,AL,2021.0,1,1,0,1,1,2375
881932,AR,2020.0,0,0,1,1,1,3369
881936,AL,2023.0,1,1,0,1,1,4416
881937,AR,2020.0,0,0,1,1,1,5202
881938,CO,2020.0,0,0,1,1,1,2467
881940,CA,2020.0,0,0,1,1,1,1054
881941,AL,2021.0,1,1,0,1,1,3221
881942,AR,2020.0,0,0,1,1,1,2103
881943,CO,2021.0,1,1,0,1,1,200
881946,AL,2021.0,1,1,0,1,1,3607
881947,CO,2020.0,0,0,1,1,1,81
881948,AR,2020.0,0,0,1,1,1,16609
881951,AL,2021.0,1,1,0,1,1,5166
881952,AR,2020.0,0,0,1,1,1,1167
881954,AL,2021.0,1,1,0,1,1,1269
881955,AR,2020.0,0,0,1,1,1,1987
881957,CO,2022.0,0,0,1,1,1,374
881958,AL,2021.0,1,1,0,1,1,2775
881959,AR,2020.0,0,0,1,1,1,1023
881961,CO,2021.0,0,0,1,1,1,437
881962,AL,2021.0,0,0,1,1,1,733
881964,AR,2020.0,0,0,1,1,1,497
881965,CO,2020.0,0,0,1,1,1,190
881966,AL,2021.0,1,1,0,1,1,1970
881968,AR,2020.0,0,0,1,1,1,1513
881969,CO,2020.0,0,0,1,1,1,196
881971,AL,2021.0,1,1,0,1,1,2611
881972,AR,2020.0,0,0,1,1,1,363
881973,CO,2020.0,0,0,1,1,1,439
881976,AL,2021.0,1,1,0,1,1,1726
881977,AR,2020.0,0,0,1,1,1,1253
881978,CO,2020.0,1,1,0,1,1,4329
881981,AL,2021.0,1,1,0,1,1,3210
881983,AR,2020.0,0,0,1,1,1,474
881986,AL,2021.0,1,1,0,1,1,2489
881991,AL,2021.0,1,1,0,1,1,4170
881992,AR,2020.0,0,0,1,1,1,534
881993,AZ,2029.0,0,1,0,1,1,1272
881995,AL,2021.0,1,1,0,1,1,6319
881996,AR,2020.0,0,0,1,1,1,2482
882000,AL,2021.0,1,1,0,1,1,24026
882001,AR,2020.0,0,0,1,1,1,9953
882004,AR,2020.0,0,0,1,1,1,783
882012,CO,2020.0,1,1,0,1,1,669
882007,CO,2020.0,1,1,0,1,1,73122
882010,AR,2020.0,0,0,1,1,1,10625
882011,AL,2021.0,1,1,0,1,1,5470
882015,AL,2021.0,1,1,0,1,1,1590
882016,AR,2020.0,0,0,1,1,1,611
882017,CO,2020.0,1,1,0,1,1,273
882020,AL,2021.0,1,1,0,1,1,2722
882021,AR,2020.0,0,0,1,1,1,430
882022,CO,2022.0,1,1,0,1,1,60476
882025,CO,2021.0,1,1,0,1,1,4720
882026,AL,2021.0,0,1,0,1,1,36171
882027,AR,2020.0,0,0,1,1,1,703
882030,CO,2020.0,0,0,1,1,1,192
882031,AL,2021.0,1,1,0,1,1,2366
882032,AR,2020.0,0,0,1,1,1,1797
882036,AL,2021.0,0,0,1,1,1,886
882038,AR,2020.0,0,0,1,1,1,1293
882041,AL,2021.0,1,1,0,1,1,8409
882042,AR,2020.0,0,0,1,1,1,813
882045,CO,2020.0,1,1,0,1,1,6364
882046,AR,2020.0,0,0,1,1,1,1147
882048,CO,2022.0,1,1,0,1,1,1878
882050,AL,2021.0,1,1,0,1,1,4834
882052,CO,2022.0,0,0,1,1,1,231
882053,AR,2020.0,0,0,1,1,1,764
882057,AL,2021.0,1,1,0,1,1,9653
882058,AR,2020.0,0,0,1,1,1,944
882060,CO,2022.0,0,0,1,1,1,213
882062,AL,2021.0,1,1,0,1,1,9209
882063,AR,2020.0,0,0,1,1,1,517
882066,CO,2022.0,1,1,0,1,1,1916
882068,AL,2021.0,0,0,1,1,1,494
882069,AR,2020.0,0,0,1,1,1,634
882071,CO,2021.0,1,1,0,1,1,1043
882073,AL,2021.0,1,1,0,1,1,1508
882074,AR,2020.0,0,0,1,1,1,2610
882075,CO,2024.0,0,0,1,1,1,2554
882078,AL,2022.0,0,0,1,1,1,2023
882079,AR,2020.0,0,0,1,1,1,1589
882080,CO,2022.0,1,1,0,1,1,1117
882083,AR,2020.0,0,0,1,1,1,492
882084,AL,2022.0,1,1,0,1,1,19352
882088,AL,2021.0,0,0,1,1,1,1048
882089,AR,2020.0,0,0,1,1,1,9920
