funding_year,state_code,district_id,num_students,ia_bw_mbps_total,ia_monthly_cost_total,ia_bandwidth_per_student_kbps,projected_bw_fy2018,deal,total_circuits,total_bw,total_cost,total_li,bw_rank,best_deal
2019,AZ,881428,2297,1000.0,2864.0,435.35045711798,2297.0,Deal 2,2.0,2030.0,2789.0,2.0,1.0,True
2019,CA,881445,2225,600.0,967.2979407394896,269.6629213483146,2225.0,Deal 1,1.0,1000.0,925.0,1.0,1.0,True
2019,AZ,881451,453,200.0,572.8,441.5011037527594,453.0,Deal 1,1.0,200.0,573.0,1.0,1.0,False
2019,AZ,881455,128,80.0,2253.84,625.0,128.0,Deal 1,1.0,80.0,2254.0,1.0,1.0,False
2019,AZ,881468,536,500.0,3650.0,932.8358208955224,536.0,Deal 1,1.0,500.0,3650.0,1.0,1.0,False
2019,AZ,881477,1131,1000.0,21750.0,884.1732979664014,1131.0,Deal 1,1.0,1000.0,21750.0,1.0,1.0,False
2019,CA,881577,29890,10000.0,1608.55,334.5600535296086,20923.0,,,,,,,False
2019,CA,881656,1633,1000.0,928.82,612.369871402327,1633.0,Deal 1,1.0,1000.0,925.0,1.0,1.0,False
2019,CO,881752,1568,250.0,2500.0,159.4387755102041,1568.0,Deal 1,1.0,250.0,2500.0,1.0,1.0,False
2019,CO,881924,305,100.0,800.0,327.8688524590164,305.0,Deal 1,1.0,100.0,800.0,1.0,1.0,False
2019,CO,881930,26053,5000.0,5640.0,191.91647794879668,18237.1,Deal 1,4.0,11000.0,5407.0,2.0,1.0,True
2019,CO,881978,4329,1000.0,3800.0,231.000231000231,3679.65,Deal 2,1.0,2000.0,3593.0,1.0,1.0,True
2019,CO,882017,273,100.0,1800.0,366.3003663003663,273.0,Deal 1,1.0,100.0,1800.0,1.0,1.0,False
2019,CO,882025,4720,1000.0,1250.0,211.864406779661,4012.0,Deal 2,1.0,1000.0,925.0,1.0,1.0,False
2019,CO,882045,6364,1000.0,3007.0,157.13387806411063,4454.8,Deal 1,4.0,4000.0,1556.0,1.0,1.0,True
2019,CO,882080,1117,500.0,1050.0,447.6275738585497,1117.0,Deal 1,1.0,500.0,1050.0,1.0,1.0,False
2019,CO,882095,517,10.5,1964.06,20.309477756286267,517.0,Deal 1,4.0,6.0,1124.0,1.0,1.0,False
2019,CO,882113,1318,1300.0,1908.99,986.3429438543247,1318.0,Deal 1,1.0,1000.0,1800.0,1.0,1.0,False
2019,CO,882129,8012,2000.0,2582.0,249.62556165751374,6810.2,Deal 1,4.0,4000.0,1556.0,1.0,1.0,True
2019,CA,882135,1628,20.0,201.79546697016764,12.285012285012286,1628.0,Deal 1,2.0,40.0,152.0,1.0,1.0,True
2019,CO,882138,267,100.0,749.0,374.53183520599254,267.0,Deal 1,1.0,100.0,749.0,1.0,1.0,False
2019,CO,882170,21477,5000.0,7657.5,232.80718908599897,15033.9,Deal 3,2.0,11000.0,7195.0,2.0,1.0,True
2019,CO,882180,16710,5000.0,4800.0,299.22202274087374,11697.0,Deal 2,2.0,9000.0,4629.0,2.0,1.0,True
2019,CO,882209,9932,2000.0,1850.0,201.3693113169553,6952.4,Deal 1,4.0,4000.0,1556.0,1.0,1.0,True
2019,AZ,882218,6798,5000.0,7566.65,735.5104442483083,5778.3,Deal 2,4.0,3300.0,7350.0,2.0,1.0,False
2019,CO,882228,116,100.0,750.0,862.0689655172414,116.0,Deal 1,1.0,100.0,750.0,1.0,1.0,False
2019,CO,882239,581,200.0,1290.0,344.2340791738382,581.0,Deal 1,1.0,200.0,1290.0,1.0,1.0,False
2019,CO,882251,869,300.0,900.0,345.22439585730723,869.0,Deal 1,1.0,300.0,900.0,1.0,1.0,False
2019,CO,882262,3426,1000.0,2165.0,291.8855808523059,3426.0,Deal 1,1.0,1000.0,2165.0,1.0,1.0,False
2019,CO,882274,46,20.0,130.0,434.7826086956522,46.0,Deal 1,1.0,20.0,130.0,1.0,1.0,False
2019,CO,882311,921,100.0,400.0,108.57763300760044,921.0,Deal 1,1.0,100.0,400.0,1.0,1.0,False
2019,CO,882337,1446,100.0,500.0,69.15629322268326,1446.0,Deal 1,2.0,1100.0,500.0,1.0,1.0,True
2019,CO,882374,28513,5000.0,4500.0,175.3586083540841,19959.1,Deal 2,1.0,8000.0,4240.0,1.0,1.0,True
2019,CO,882409,5867,1000.0,1780.92,170.44486108743823,4986.95,Deal 1,4.0,4000.0,1556.0,1.0,1.0,True
2019,CO,882427,300,100.0,784.0,333.3333333333333,300.0,Deal 1,1.0,200.0,782.0,1.0,1.0,True
2019,CO,882453,1066,1000.0,534.9,938.0863039399625,1066.0,Deal 1,1.0,1000.0,500.0,1.0,1.0,False
2019,CO,882461,5556,1000.0,2750.0,179.98560115190784,4722.6,Deal 1,4.0,4000.0,1556.0,1.0,1.0,True
