funding_year,state_code,district_id,num_students,old_total_bw,old_total_cost,old_bw_per_student,projected_bw_fy2018,deal,total_circuits,new_total_bw,new_total_cost,total_li,bw_rank,best_deal,new_bw_per_student,total_bw_change,total_bw_percent_change
2019,AZ,881428,2297,1000.0,2864.0,435.35045711798,2297.0,Deal 2,2.0,2030.0,2789.0,2.0,1.0,True,883.7614279494993,1030.0,1.03
2019,CA,881445,2225,600.0,967.2979407394896,269.6629213483146,2225.0,Deal 1,1.0,1000.0,925.0,1.0,1.0,True,449.438202247191,400.0,0.6666666666666666
2019,CO,881930,26053,5000.0,5640.0,191.91647794879668,18237.1,Deal 1,4.0,11000.0,5407.0,2.0,1.0,True,422.2162514873527,6000.0,1.2
2019,CO,881978,4329,1000.0,3800.0,231.000231000231,3679.65,Deal 2,1.0,2000.0,3593.0,1.0,1.0,True,462.000462000462,1000.0,1.0
2019,CO,882045,6364,1000.0,3007.0,157.13387806411063,4454.8,Deal 1,4.0,4000.0,1556.0,1.0,1.0,True,628.5355122564425,3000.0,3.0
2019,CO,882129,8012,2000.0,2582.0,249.62556165751374,6810.2,Deal 1,4.0,4000.0,1556.0,1.0,1.0,True,499.2511233150275,2000.0,1.0
2019,CA,882135,1628,20.0,201.79546697016764,12.285012285012286,1628.0,Deal 1,2.0,40.0,152.0,1.0,1.0,True,24.57002457002457,20.0,1.0
2019,CO,882170,21477,5000.0,7657.5,232.80718908599897,15033.9,Deal 3,2.0,11000.0,7195.0,2.0,1.0,True,512.1758159891978,6000.0,1.2
2019,CO,882180,16710,5000.0,4800.0,299.22202274087374,11697.0,Deal 2,2.0,9000.0,4629.0,2.0,1.0,True,538.5996409335727,4000.0,0.8
2019,CO,882209,9932,2000.0,1850.0,201.3693113169553,6952.4,Deal 1,4.0,4000.0,1556.0,1.0,1.0,True,402.7386226339106,2000.0,1.0
2019,CO,882337,1446,100.0,500.0,69.15629322268326,1446.0,Deal 1,2.0,1100.0,500.0,1.0,1.0,True,760.7192254495159,1000.0,10.0
