,district_id,name,state_code,num_students,spiya_or_peer_deal,current_provider_deal,deal_current_provider_array
0,881424,Cave Creek Un School District 93,AZ,5387,True,True,['Cox']
1,881428,Chino Valley Unified School District 51,AZ,2297,False,False,
2,881433,Acton-Agua Dulce Unified School District,CA,3858,True,True,['Spectrum']
3,881445,Ross Valley Elem School District,CA,2225,False,False,
4,881447,Yuma School District #1,CO,759,True,True,['Zayo Group']
5,881451,Clarkdale-Jerome School District 3,AZ,453,False,False,
6,881452,Cuyama Joint Unified School District,CA,245,True,True,['Kern County Superintendent of Schools']
7,881455,Salome School District 30,AZ,128,False,False,
8,881468,Colorado City Unified School District 14,AZ,536,False,False,
9,881477,Pinon Unified School District 4,AZ,1131,False,False,
10,881485,Rocklin Unified School District,CA,12214,True,True,['Consolidated Communications']
11,881490,Hesperia Unified School District,CA,22151,True,True,['Spectrum']
12,881515,Apple Valley Unified School District,CA,12896,True,True,"['Crown Castle Fiber', 'Spectrum']"
13,881526,Dublin Unified School District,CA,10608,True,True,['AT&T']
14,881533,Pleasanton Unified School District,CA,14728,True,True,['AT&T']
15,881542,Sunol Glen Unified School District,CA,278,True,True,['AT&T']
16,881558,El Tejon Unified School District,CA,785,True,True,['AT&T']
17,881574,Lake Elsinore Unified School District,CA,21489,True,True,"['Crown Castle Fiber', 'Spectrum']"
18,881577,Temecula Valley Unified School District,CA,29890,False,False,
19,881601,Windsor Unified School District,CA,5015,True,True,['AT&T']
20,881627,Natomas Unified School District,CA,11890,True,True,"['AT&T', 'Zayo Group']"
21,881633,Ferndale Unified School District,CA,513,True,True,['Frontier']
22,881638,Mattole Unified School District,CA,1213,True,True,['Frontier']
23,881644,Delhi Unified School District,CA,2589,True,True,['Spectrum']
24,881650,Riverdale Unified School District,CA,1609,True,True,['AT&T']
25,881656,Warner Unified School District,CA,1633,False,False,
26,881663,Scotts Valley Unified School District,CA,2502,True,True,['AT&T']
27,881674,Orland Unified School District,CA,2173,True,True,['Comcast']
28,881681,Gonzales Unified School District,CA,2424,True,True,['AT&T']
29,881696,Tracy Unified School District,CA,15001,True,True,['AT&T']
30,881701,Paso Robles Joint Unified School Districtist,CA,6671,True,True,['Spectrum']
31,881712,Gridley Unified School District,CA,1994,True,True,['Comcast']
32,881717,Academy School District 20,CO,21440,True,True,['Zayo Group']
33,881719,Eureka City School District,CA,3713,True,True,['AT&T']
34,881722,Adams County School District 14,CO,7255,True,False,
35,881730,Aguilar School District R E 6,CO,124,True,True,['SECOM']
36,881735,Hughson Unified School District,CA,2061,True,True,['Spectrum']
37,881740,Riverbank Unified School District,CA,2875,True,True,['Spectrum']
38,881746,Oakdale Joint Unified School District,CA,5265,True,True,['AT&T']
39,881752,Archuleta Co School District 50,CO,1568,False,False,
40,881755,Porterville Unified School District,CA,14368,True,True,"['AT&T', 'Spectrum']"
41,881758,Dinuba Unified School District,CA,6525,True,False,
42,881767,Caruthers Unified School District,CA,1442,True,True,['AT&T']
43,881777,Valley Center-Pauma Unified School District,CA,4063,True,True,['AT&T']
44,881785,West Side Union Elem School,CA,179,True,True,['Comcast']
45,881795,Weld Re 9 School District,CO,853,True,True,['Zayo Group']
46,881807,Aurora Public Schools,CO,37704,True,True,"['Comcast', 'Unite Private Networks', 'Zayo Group']"
47,881812,Platte Canyon School District 1,CO,989,True,True,['Visionary Communications']
48,881821,Bennett School District 29 J,CO,1029,True,False,
49,881831,Boulder Valley School District R E 2,CO,30971,True,True,"['CenturyLink', 'Zayo Group']"
50,881856,Brighton School District 27 J,CO,13873,True,True,['CenturyLink']
51,881868,Buena Vista School District R 31,CO,998,True,True,['Spectrum']
52,881894,Canon City School District R E 1,CO,3602,True,True,['Unite Private Networks']
53,881909,Cherry Creek School District 5,CO,53435,True,True,['CenturyLink']
54,881913,Cheyenne Mountain School District 12,CO,3739,True,False,
55,881924,Plateau Valley School District 50,CO,305,False,False,
56,881930,Colorado Springs School District 11,CO,26053,False,False,
57,881943,Cotopaxi School District Re-3,CO,200,True,True,['CenturyLink']
58,881978,Delta County School District 50 J,CO,4329,False,False,
59,882007,Denver Public Schools,CO,73122,True,True,"['Comcast', 'Zayo Group']"
60,882012,Dolores School District R E 4 A,CO,669,True,True,['Zippytech']
61,882017,Dolores Co School District R E 2 J,CO,273,False,False,
62,882022,Douglas Co School District R E 1,CO,60476,True,True,['CenturyLink']
63,882025,Durango School District 9-R,CO,4720,False,False,
64,882045,Eagle Co School District Re 50 J,CO,6364,False,False,
65,882048,Eaton School District R E 2,CO,1878,True,True,"['CenturyLink', 'TDS Telecom']"
66,882066,Elizabeth School District C 1,CO,1916,True,True,['Zayo Group']
67,882071,Ellicott School District 22,CO,1043,True,True,['CenturyLink']
68,882080,Park School District R-3,CO,1117,False,False,
69,882095,Park County School District R E 2,CO,517,False,False,
70,882101,Falcon School District 49,CO,13524,True,False,
71,882113,Florence School District 2,CO,1318,False,False,
72,882117,Alhambra Unified School District,CA,17024,True,True,"['LA County Office of Education LACOE', 'Spectrum']"
73,882122,Fort Lupton School District R E 8,CO,2388,True,True,"['CenturyLink', 'Comcast']"
74,882125,Fort Morgan School District Re 3,CO,3213,True,False,
75,882126,Turlock Unified School District,CA,14051,True,True,['Spectrum']
76,882129,Fountain-Ft Carson School District 8,CO,8012,False,False,
77,882133,Fowler School District R 4 J,CO,396,True,True,['SECOM']
78,882135,Yosemite Unified School District,CA,1628,False,False,
79,882138,Sierra Grande School District R-30,CO,267,False,False,
80,882154,Roaring Fork School District Re 1,CO,5589,True,False,
