,state_code,wtavg_cost_per_mbps
0,AK,198.3246589922799323923073
1,KY,5.3189062802152176631428
2,TN,4.8986481019378816033971
3,RI,4.2653791907514450867334
4,NC,3.95291684869666521041
5,AL,3.7766526047786917352135
6,HI,3.6299818461538461538407
7,WV,3.1522118379172168295198
8,NM,2.5561600868351682431382
9,AZ,2.4260546443632038426348
10,OK,2.2163150145784986271560
11,MT,2.2033967171098505550007
12,NE,2.1943901285481993918085
13,IA,2.1563835973248856036581
14,IL,2.13276893156352682805339801069160
15,ID,2.0526326458732829804720
16,IN,1.9857410587053020645940
17,NJ,1.9121783164326810228825
18,UT,1.9055271352649797313739
19,KS,1.8429648839450855758460
20,MA,1.83900311111705909804471595145071
21,AR,1.8009938733436393266744
22,NH,1.7969139305083347949674
23,MS,1.7415561665776828618884
24,OH,1.71871019798197481411982728687157
25,VA,1.6887261365435789294804
26,MO,1.625720229661862866333600608645863
27,DC,1.61818181818181818182
28,CO,1.6122340324515387641395
29,GA,1.609339724794770228606319
30,MN,1.5961504108022223509567540750068
31,WA,1.58407745310946927288402278
32,SC,1.558420642769668138285
33,FL,1.4328892386676712233687
34,DE,1.35980095996082239590
35,VT,1.3455894194754319650562
36,NY,1.2769309323328635033662462477177
37,LA,1.2174747355405962357467
38,SD,1.128935187511291873725489
39,WI,1.10406986061914080624757788271766
40,MD,1.1038873288980652902041312594632
41,WY,1.1004975029742379408064
42,ND,1.096959406637771062610597
43,TX,0.9096739092697250957230343789878
44,CA,0.89783929139411543851469308858680
45,ME,0.823509845025348997211833
46,PA,0.77265212240634567552388223283725
47,MI,0.71787107389419502184956462075393
48,NV,0.6949061531426248666226
49,CT,0.6927845700012303255212
50,OR,0.6468180427843978693260
