district_id,funding_year,district_type,in_universe,fit_for_ia,fit_for_ia_cost,meeting_2018_goal_oversub
881421,2015,Traditional,True,True,True,False
881421,2016,Traditional,True,True,True,False
881421,2017,Traditional,True,True,True,False
881421,2018,Traditional,True,True,True,False
881421,2019,Traditional,True,True,True,False
881422,2015,Traditional,True,True,True,False
881422,2016,Traditional,True,True,True,False
881422,2017,Traditional,True,True,True,True
881422,2018,Traditional,True,True,True,True
881422,2019,Traditional,True,True,True,True
881423,2015,Traditional,True,True,True,False
881423,2016,Traditional,True,True,True,False
881423,2017,Traditional,True,True,True,True
881423,2018,Traditional,True,True,True,True
881423,2019,Traditional,True,True,True,True
881424,2016,Traditional,True,True,True,False
881424,2017,Traditional,True,True,True,False
881424,2018,Traditional,True,True,True,False
881424,2019,Traditional,True,True,True,False
881427,2015,Traditional,True,True,True,False
881427,2016,Traditional,True,True,True,False
881427,2017,Traditional,True,True,True,True
881427,2018,Traditional,True,True,True,True
881427,2019,Traditional,True,True,True,True
881428,2016,Traditional,True,True,True,False
881428,2017,Traditional,True,True,True,False
881428,2018,Traditional,True,True,True,False
881428,2019,Traditional,True,True,True,False
881431,2015,Traditional,True,True,True,False
881431,2016,Traditional,True,True,True,False
881431,2017,Traditional,True,True,True,False
881431,2018,Traditional,True,True,True,False
881431,2019,Traditional,True,True,True,False
881433,2016,Traditional,True,True,True,True
881433,2017,Traditional,True,True,True,True
881433,2018,Traditional,True,True,True,False
881433,2019,Traditional,True,True,True,False
881435,2016,Traditional,True,True,True,False
881435,2017,Traditional,True,True,True,True
881435,2018,Traditional,True,True,True,True
881435,2019,Traditional,True,True,True,True
881439,2015,Traditional,True,True,True,False
881439,2016,Traditional,True,True,True,False
881439,2017,Traditional,True,True,True,False
881439,2018,Traditional,True,True,True,False
881439,2019,Traditional,True,True,True,False
881443,2015,Traditional,True,True,True,False
881443,2016,Traditional,True,True,True,False
881443,2017,Traditional,True,True,True,False
881443,2018,Traditional,True,True,True,False
881443,2019,Traditional,True,True,True,False
881445,2015,Traditional,True,True,True,False
881445,2016,Traditional,True,True,True,False
881445,2017,Traditional,True,True,True,False
881445,2018,Traditional,True,True,True,False
881445,2019,Traditional,True,True,True,False
881446,2015,Traditional,True,True,True,False
881446,2016,Traditional,True,True,True,False
