district_id,funding_year,fit_for_ia,state_code,size,locale,num_students,ia_bw_mbps_total,ia_bw_mbps_total_previous
882198,2016,True,AR,Small,Town,2437.0,1000.0,7.5
882311,2016,True,CO,Small,Rural,1005.0,100.0,1.54
882639,2016,True,CA,Small,Suburban,2103.0,10000.0,10.0
882862,2016,True,CA,Small,Urban,1042.0,10000.0,10.0
882922,2016,True,CA,Large,Urban,15544.0,5000.0,1.5
883067,2016,True,CA,Tiny,Rural,70.0,1000.0,5.0
883275,2016,True,CA,Tiny,Rural,16.0,1001.5,1.5
883655,2016,True,CA,Small,Suburban,1458.0,1250.0,10.0
883701,2016,True,CA,Small,Rural,1101.0,100.0,1.5
883786,2016,True,CA,Tiny,Town,35.0,100.0,1.5
883855,2016,True,CA,Small,Rural,130.0,100.0,1.5
883896,2016,True,CA,Small,Rural,830.0,100.0,1.5
883959,2016,True,CA,Small,Suburban,4729.0,1001.5,1.5
888974,2016,True,FL,Mega,Urban,26593.0,1183.0,15.0
901159,2016,True,IL,Small,Suburban,769.0,1551000.0,100.0
901191,2016,True,IL,Tiny,Rural,74.0,450.0,1.5
901238,2016,True,IL,Tiny,Suburban,406.0,100.0,1.5
901405,2016,True,IL,Tiny,Rural,61.0,100.0,1.5
901662,2016,True,IL,Small,Suburban,1768.0,600.0,3.0
903670,2016,True,KS,Medium,Rural,1836.0,750.0,10.0
917380,2016,True,ME,Small,Rural,185.0,300.0,1.5
917508,2016,True,ME,Tiny,Rural,150.0,1000.0,6.5
917567,2016,True,ME,Small,Suburban,375.0,1000.0,1.5
917582,2016,True,ME,Medium,Rural,2153.0,6700.0,100.0
924312,2016,True,MO,Tiny,Rural,89.0,1000.0,5.0
924582,2016,True,MO,Tiny,Rural,100.0,1000.0,6.0
928873,2016,True,MT,Small,Rural,313.0,1014.0,14.0
942878,2016,True,NM,Medium,Town,2745.0,3000.0,48.0
946378,2016,True,NY,Tiny,Rural,257.0,1000.0,5.0
946462,2016,True,NY,Tiny,Rural,309.0,1000.5,0.512
946485,2016,True,NY,Tiny,Rural,480.0,1003.0,3.0
946524,2016,True,NY,Medium,Urban,5103.0,10000.0,15.0
946748,2016,True,NY,Medium,Suburban,4248.0,10150.0,75.0
946782,2016,True,NY,Small,Suburban,3144.0,4100.0,50.0
951725,2016,True,OK,Tiny,Rural,262.0,100.0,1.5
952262,2016,True,OR,Small,Rural,224.0,1000.0,10.0
953764,2016,True,PA,Small,Suburban,3174.0,1000.0,1.5
