funding_year,state_code,district_id,num_students,old_total_bw,old_total_cost,old_bw_per_student,projected_bw_fy2018,consortium_affiliation,consortium_member,locale,ulocal,contract_expiring,deal,total_circuits,new_total_bw,new_total_cost,total_li,bw_rank,best_deal,new_bw_per_student,total_bw_change,total_bw_percent_change
2018,AZ,881424,5408,1000.0,4946.0,184.9112426035503,4596.8,Maricopa County Superintendent Office,True,Urban,12,True,Deal 1,1.0,3000.0,4722.0,1.0,1.0,True,554.7337278106509,2000.0,2.0
2018,AZ,881428,2438,1000.0,3190.0,410.17227235438884,2438.0,Yavapai County Superintendent Office,True,Town,31,False,Deal 1,2.0,1300.0,2714.0,2.0,1.0,True,533.2239540607055,300.0,0.3
2019,AZ,881428,2297,1000.0,2864.0,435.35045711798,2297.0,Yavapai County Superintendent Office,True,Town,31,False,Deal 2,2.0,2030.0,2789.0,2.0,1.0,True,883.7614279494993,1030.0,1.03
2019,CA,881445,2225,600.0,967.2979407394896,269.6629213483146,2225.0,,False,Suburban,21,True,Deal 1,1.0,1000.0,925.0,1.0,1.0,True,449.438202247191,400.0,0.6666666666666666
2018,AZ,881477,1246,400.0,22005.2,321.02728731942216,1246.0,,False,Rural,43,False,Deal 2,2.0,800.0,18992.0,1.0,1.0,True,642.0545746388443,400.0,1.0
2018,CA,881601,4955,2000.0,1754.5901565242057,403.6326942482341,4211.75,CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA (CENIC) | SONOMA CO OFFICE OF EDUCATION,True,Suburban,21,True,Deal 2,2.0,2750.0,1552.0,2.0,1.0,True,554.9949545913219,750.0,0.375
2018,CA,881656,1025,200.0,1032.3135453111445,195.1219512195122,1025.0,CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA (CENIC),True,Rural,42,True,Deal 1,1.0,1000.0,1017.0,1.0,1.0,True,975.609756097561,800.0,4.0
2018,CO,881717,24647,9000.0,10372.0,365.15600275895645,17252.9,,False,Urban,11,False,Deal 2,3.0,16000.0,10350.0,3.0,1.0,True,649.1662271270337,7000.0,0.7777777777777778
2018,CO,881722,7202,2000.0,3579.0,277.700638711469,6121.7,,False,Suburban,21,True,Deal 3,3.0,4600.0,3563.0,3.0,1.0,True,638.7114690363787,2600.0,1.3
2018,CO,881741,2195,100.0,852.0,45.558086560364465,2195.0,,False,Town,33,False,Deal 1,4.0,400.0,816.0,1.0,1.0,True,182.23234624145786,300.0,3.0
2018,CA,881777,4047,1000.0,1734.2833052431236,247.09661477637755,3439.95,CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA (CENIC),True,Rural,41,False,Deal 1,2.0,2750.0,1695.0,2.0,1.0,True,679.5156906350383,1750.0,1.75
2018,CO,881856,14888,3100.0,6382.0,208.22138635142397,10421.6,,False,Suburban,21,False,Deal 2,5.0,10400.0,6058.0,2.0,1.0,True,698.5491671144546,7300.0,2.3548387096774195
2018,CO,881883,458,100.0,796.0,218.34061135371178,458.0,,False,Rural,42,True,Deal 1,4.0,400.0,208.0,1.0,1.0,True,873.3624454148471,300.0,3.0
2019,CO,881930,26053,5000.0,5640.0,191.91647794879668,18237.1,,False,Urban,11,False,Deal 1,4.0,11000.0,5407.0,2.0,1.0,True,422.2162514873527,6000.0,1.2
2018,CO,881978,4298,1000.0,4134.0,232.66635644485808,3653.3,,False,Town,32,True,Deal 2,3.0,2200.0,4002.0,2.0,1.0,True,511.86598417868777,1200.0,1.2
2019,CO,881978,4329,1000.0,3800.0,231.000231000231,3679.65,,False,Town,32,True,Deal 2,1.0,2000.0,3593.0,1.0,1.0,True,462.000462000462,1000.0,1.0
2019,CO,882045,6364,1000.0,3007.0,157.13387806411063,4454.8,,False,Town,33,True,Deal 1,4.0,4000.0,1556.0,1.0,1.0,True,628.5355122564425,3000.0,3.0
2018,CO,882122,2178,600.0,2886.0,275.4820936639118,2178.0,,False,Town,31,False,Deal 2,1.0,2000.0,2684.0,1.0,1.0,True,918.2736455463728,1400.0,2.3333333333333335
2018,CA,882126,14109,1000.0,2204.6561284310583,70.876745339854,11992.65,CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA (CENIC),True,Suburban,23,True,Deal 2,3.0,10450.0,2134.0,3.0,1.0,True,740.6619888014742,9450.0,9.45
2018,CO,882129,7982,1000.0,4950.0,125.28188423953897,6784.7,,False,Suburban,21,True,Deal 3,3.0,5200.0,4908.0,2.0,1.0,True,651.4657980456026,4200.0,4.2
2019,CO,882129,8012,2000.0,2582.0,249.62556165751374,6810.2,,False,Suburban,21,False,Deal 1,4.0,4000.0,1556.0,1.0,1.0,True,499.2511233150275,2000.0,1.0
2019,CA,882135,1628,20.0,201.79546697016764,12.285012285012286,1628.0,CORPORATION FOR EDUCATION NETWORK INITIATIVES IN CALIFORNIA (CENIC),True,Rural,42,True,Deal 1,2.0,40.0,152.0,1.0,1.0,True,24.57002457002457,20.0,1.0
2018,CO,882170,20815,5000.0,7657.5,240.21138601969733,14570.5,,False,Suburban,22,True,Deal 3,6.0,11400.0,7308.0,3.0,1.0,True,547.6819601249099,6400.0,1.28
2019,CO,882170,21477,5000.0,7657.5,232.80718908599897,15033.9,,False,Suburban,22,True,Deal 3,2.0,11000.0,7195.0,2.0,1.0,True,512.1758159891978,6000.0,1.2
2019,CO,882180,16710,5000.0,4800.0,299.22202274087374,11697.0,,False,Urban,13,True,Deal 2,2.0,9000.0,4629.0,2.0,1.0,True,538.5996409335727,4000.0,0.8
2018,CO,882190,1975,300.0,3765.0,151.8987341772152,1678.75,,False,Rural,41,True,Deal 1,1.0,1000.0,1974.0,1.0,1.0,True,506.32911392405066,700.0,2.3333333333333335
2019,CO,882209,9932,2000.0,1850.0,201.3693113169553,6952.4,,False,Urban,11,False,Deal 1,4.0,4000.0,1556.0,1.0,1.0,True,402.7386226339106,2000.0,1.0
2018,AZ,882218,7317,1000.0,6566.34,136.66803334700015,6219.45,,False,Town,33,True,Deal 2,3.0,3000.0,6000.0,1.0,1.0,True,410.0041000410004,2000.0,2.0
2018,CO,882262,3485,500.0,7000.0,143.47202295552367,3485.0,,False,Town,31,True,Deal 1,1.0,1000.0,6042.0,1.0,1.0,True,286.94404591104734,500.0,1.0
2018,CO,882337,1420,100.0,500.0,70.4225352112676,1420.0,,False,Town,33,True,Deal 1,1.0,550.0,500.0,1.0,1.0,True,387.32394366197184,450.0,4.5
2019,CO,882337,1446,100.0,500.0,69.15629322268326,1446.0,,False,Town,33,True,Deal 1,2.0,1100.0,500.0,1.0,1.0,True,760.7192254495159,1000.0,10.0
2019,CO,882374,28513,5000.0,4500.0,175.3586083540841,19959.1,,False,Suburban,23,True,Deal 2,1.0,8000.0,4240.0,1.0,1.0,True,280.57377336653457,3000.0,0.6
2018,CO,882386,13873,3000.0,5300.0,216.24738701074028,9711.1,,False,Suburban,21,False,Deal 1,2.0,4400.0,5190.0,2.0,1.0,True,317.1628342824191,1400.0,0.4666666666666667
2018,CO,882397,1404,500.0,2560.34,356.1253561253561,1404.0,,False,Suburban,21,False,Deal 1,1.0,1000.0,2236.0,1.0,1.0,True,712.2507122507122,500.0,1.0
2019,CO,882409,5867,1000.0,1780.92,170.44486108743823,4986.95,,False,Suburban,21,True,Deal 1,4.0,4000.0,1556.0,1.0,1.0,True,681.7794443497529,3000.0,3.0
2019,CO,882427,300,100.0,784.0,333.3333333333333,300.0,,False,Rural,43,True,Deal 1,1.0,200.0,782.0,1.0,1.0,True,666.6666666666666,100.0,1.0
2018,CO,882461,5689,1000.0,2750.0,175.77781683951486,4835.65,,False,Suburban,21,False,Deal 2,1.0,2000.0,2684.0,1.0,1.0,True,351.5556336790297,1000.0,1.0
2019,CO,882461,5556,1000.0,2750.0,179.98560115190784,4722.6,,False,Suburban,21,True,Deal 1,4.0,4000.0,1556.0,1.0,1.0,True,719.9424046076314,3000.0,3.0
2018,CA,882471,13954,1000.0,3398.8,71.66403898523721,9767.8,,False,Urban,13,False,Deal 1,3.0,3000.0,3231.0,1.0,1.0,True,214.99211695571162,2000.0,2.0
2018,CO,882504,658,200.0,834.0,303.951367781155,658.0,,False,Rural,42,True,Deal 1,4.0,400.0,208.0,1.0,1.0,True,607.90273556231,200.0,1.0
2018,CO,882515,15465,2000.0,8000.0,129.32428063368897,10825.5,,False,Urban,12,True,Deal 1,1.0,5000.0,4500.0,1.0,1.0,True,323.31070158422244,3000.0,1.5
2018,AK,882543,466,35.0,140729.0,75.10729613733906,466.0,,False,Rural,43,True,Deal 1,4.0,120.0,140384.0,2.0,1.0,True,257.51072961373393,85.0,2.4285714285714284
