state_code,district_counts,num_districts_not_meeting,num_districts_newly_meeting_extrap,num_students,num_students_not_meeting,num_students_newly_meeting_extrap,num_schools,num_schools_not_meeting,num_schools_newly_meeting_extrap,ia_monthly_cost_total,total_projected_cost3,total_projected_cost49,total_projected_cost74,already_spending_3,already_spending_49,already_spending_74,num_students_pp,num_students_not_meeting_pp,num_students_newly_meeting_extrap_pp,ia_monthly_cost_total_pp,total_projected_cost3_pp,total_projected_cost49_pp,total_projected_cost74_pp
AL,135,123,123.0,735819.0,709681.0,709681.0,1350.0,1299.0,1299.0,980216.2600000004,427866.769,451633.72270000016,482906.0301999999,True,True,True,736k,710k,710k,980k,428k,452k,483k
AR,234,3,3.0655021834061134,473462.0,4684.0,4732.064038851773,991.0,9.0,9.110316649642492,1304327.304501982,444886.56199999986,460179.3845999999,480301.51959999994,True,True,True,473k,5k,5k,1.3M,445k,460k,480k
CT,162,92,92.0,486495.0,352850.0,352850.0,953.0,668.0,668.0,251428.90000000002,374311.24500000017,390025.0335000002,410701.07100000005,False,False,False,486k,353k,353k,251k,374k,390k,411k
DE,17,10,10.0,112978.0,72677.0,72677.0,175.0,116.0,116.0,126189.52908436432,60761.878,64411.0674,69212.6324,True,True,True,113k,73k,73k,126k,61k,64k,69k
GA,180,165,165.9217877094972,1714011.0,1542713.0,1542983.9656902277,2196.0,1940.0,1940.883826879271,856490.6015357765,784154.5610000003,839517.1163000001,912362.5838,True,True,False,1.7M,1.5M,1.5M,856k,784k,840k,912k
KY,173,173,173.0,673469.0,673469.0,673469.0,1279.0,1279.0,1279.0,935180.7400000005,465496.91899999976,487249.9677,515872.4001999997,True,True,True,673k,673k,673k,935k,465k,487k,516k
ME,183,64,64.70718232044199,173580.0,111584.0,111674.07011070111,563.0,282.0,283.0053475935829,171857.91222684507,271542.58000000025,277149.2140000001,284526.364,False,False,False,174k,112k,112k,172k,272k,277k,285k
NC,115,114,114.0,1460970.0,1292226.0,1292226.0,2431.0,2243.0,2243.0,1357234.0,597179.47,644368.801,706460.026,True,True,True,1.5M,1.3M,1.3M,1.4M,597k,644k,706k
ND,174,53,53.30635838150289,107440.0,25695.0,25801.385085563146,471.0,129.0,129.5501066098081,213559.41638542726,188769.43999999997,192239.75200000004,196805.95199999996,True,True,True,107k,26k,26k,214k,189k,192k,197k
NE,245,161,162.99586776859505,315348.0,252242.0,253035.57466463503,943.0,677.0,683.5235546038543,373548.07,322812.7480000001,332998.4884000004,346400.77839999995,True,True,True,315k,252k,253k,374k,323k,333k,346k
RI,36,33,33.0,130071.0,124476.0,124476.0,266.0,254.0,254.0,237308.68,96083.62099999998,100284.9143,105812.93179999998,True,True,True,130k,124k,124k,237k,96k,100k,106k
SC,83,65,65.0,738444.0,706272.0,706272.0,1134.0,1058.0,1058.0,403132.2518716577,336560.644,360412.3852,391796.25519999996,True,True,True,738k,706k,706k,403k,337k,360k,392k
SD,149,5,5.0,133665.0,27661.0,27661.0,646.0,57.0,57.0,265986.285,183956.91500000007,188274.29450000008,193955.05699999994,True,True,True,134k,28k,28k,266k,184k,188k,194k
UT,41,22,25.055555555555557,570092.0,384698.0,440418.1253659888,827.0,518.0,601.6657303370787,507297.50244731887,229414.69199999995,247828.6636,272057.5736,True,True,True,570k,385k,440k,507k,229k,248k,272k
WA,297,190,191.9387755102041,1069712.0,920740.0,921267.072191563,2004.0,1639.0,1643.921921921922,712941.5076884734,666615.3119999996,701167.0096000003,746629.7696000005,True,True,False,1.1M,921k,921k,713k,667k,701k,747k
WV,55,43,43.0,272769.0,219922.0,219922.0,685.0,552.0,552.0,425663.11999999994,166581.2189999999,175391.6577,186984.34019999998,True,True,True,273k,220k,220k,426k,167k,175k,187k
WY,48,15,15.0,92947.0,39292.0,39292.0,353.0,138.0,138.0,134143.08,89490.297,92492.4851,96442.73260000002,True,True,True,93k,39k,39k,134k,89k,92k,96k
